,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2021-05-28,68871,3693518,796095,12791,1515,364190,16406956,241,28166,1359179,102933,3338938,312832,138740,289173,423104,72821,252156,16774,14075,236158,27717904,1802627,738077,1899,547881,2407939,56315,546974,7324,915157,376769,348049,1946165,1206473,61964,177257,14235,145886,283538,229915
2021-05-29,69314,3718168,797166,12791,1536,366942,16468498,241,28574,1365394,102940,3359520,312832,139636,290241,424120,72842,252900,16909,14125,236750,27839989,1807134,740783,1906,553923,2410198,56613,551028,7327,916318,377318,350305,1949922,1211444,61994,179305,14453,148071,286481,230886
2021-05-30,69650,3738787,798190,12791,1553,368962,16507699,241,29061,1370661,102940,3376806,313054,140585,291250,424726,72842,253177,16981,14180,237015,27963046,1811952,743301,1909,560439,2411817,57017,555312,7327,917427,377770,352257,1953359,1215769,62016,181605,14639,150677,288844,232216
2021-05-31,70058,3759500,799191,12795,1566,370392,16535273,241,29540,1375169,102940,3391499,315189,141402,292147,424908,72853,253388,16986,14231,237287,28061283,1816771,744951,1909,565856,2413195,57261,559357,7327,918373,378176,354139,1953766,1219667,62032,183629,14810,153811,290988,233294
2021-06-01,70561,3787007,800372,12800,1581,371606,16590129,241,29991,1378009,102940,3408487,316972,142272,292990,425147,72853,253828,17040,14281,237675,28145755,1821219,746929,1920,571474,2415200,57502,564462,7349,919064,378693,356510,1953766,1223148,62052,185250,15006,156152,293990,234091
2021-06-02,71081,3817989,801518,12803,1598,373789,16658952,242,30461,1381757,102940,3427313,318448,143108,294135,425755,72853,254565,17155,14339,238141,28268708,1826023,748279,1925,578171,2417331,57767,568335,7354,920709,379262,358922,1954222,1227398,62065,187285,15233,159066,296980,234882
2021-06-03,71657,3851885,802673,12807,1617,376655,16733512,243,31091,1388290,102940,3449437,319820,144204,295523,426780,72921,255632,17330,14358,238767,28442468,1831247,751462,1936,585766,2419788,58243,573908,7372,922465,379886,361767,1958913,1233295,62087,189753,15487,162002,300590,235973
2021-06-04,72195,3882481,803770,12811,1642,379431,16795387,243,31592,1394517,102947,3467197,320611,145157,296800,427405,72952,256511,17454,14378,239298,28556532,1836309,753100,1936,592922,2422077,58607,577786,7372,923847,380448,364310,1962791,1238738,62116,192030,15711,164451,303840,237043
2021-06-05,72725,3904938,804836,12813,1661,382193,16844813,243,31934,1400339,102953,3485300,320611,145896,297838,428235,72952,257153,17586,14422,239794,28579545,1840874,754936,1936,598284,2424376,58792,580030,7380,924628,381012,366276,1967138,1242866,62148,193701,15872,166054,306520,237936
2021-06-06,73032,3923378,805904,12815,1677,383954,16876210,243,32340,1405893,102953,3501660,320611,146666,298860,428821,72952,257459,17650,14471,240038,28666962,1845560,756554,1936,604209,2426048,59096,583385,7383,925165,381505,368034,1970953,1246433,62174,195753,16035,168329,308499,239084
