,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2021-05-28,2882,76644,12501,323,1,14384,458345,3,196,28914,4846,87127,3948,929,3622,20396,2237,8085,380,293,6283,321707,50025,12797,2,2544,222885,263,7083,186,20680,6365,8867,69001,20498,32,1325,280,943,4105,2591
2021-05-29,2892,76960,12523,323,1,14443,459512,3,197,29007,4846,87501,3963,935,3624,20437,2241,8095,383,293,6295,324081,50127,12872,2,2587,223048,263,7173,186,20731,6369,8928,69142,20587,32,1349,283,959,4134,2601
2021-05-30,2904,77289,12544,323,1,14524,460353,3,199,29094,4846,87950,3975,942,3627,20455,2246,8102,386,294,6296,326796,50226,12935,2,2635,223200,263,7281,186,20778,6373,8994,69415,20678,32,1369,288,975,4167,2615
2021-05-31,2918,77797,12567,323,1,14601,461580,3,201,29167,4846,88453,4004,952,3630,20477,2250,8109,389,295,6312,330510,50353,13038,2,2689,223360,263,7476,186,20848,6378,9071,69661,20766,32,1399,294,1002,4217,2629
2021-06-01,2933,78290,12591,323,1,14688,463470,3,204,29213,4846,88903,4035,963,3632,20503,2255,8119,392,296,6335,334154,50495,13158,2,2746,223544,264,7647,186,20908,6383,9151,69973,20840,32,1423,300,1031,4258,2645
2021-06-02,2948,78807,12611,323,1,14780,465349,3,207,29274,4846,89387,4059,970,3634,20540,2260,8133,397,297,6355,337463,50626,13262,2,2796,223802,265,7788,186,20967,6387,9227,70320,20964,32,1445,304,1059,4295,2662
2021-06-03,2963,79314,12630,323,1,14863,467136,3,209,29389,4846,89852,4083,976,3637,20574,2264,8149,401,298,6375,340268,50743,13369,2,2854,224052,265,7955,186,21041,6391,9301,70474,21093,32,1467,309,1086,4333,2675
2021-06-04,2976,79791,12646,323,1,14937,468626,3,210,29495,4846,90308,4109,983,3639,20617,2268,8162,404,299,6395,342973,50854,13477,2,2910,224263,265,8103,186,21094,6395,9364,70623,21193,32,1494,314,1108,4363,2687
2021-06-05,2989,80198,12663,323,1,15011,469935,3,211,29576,4846,90753,4132,990,3641,20667,2272,8174,408,300,6410,345358,50964,13582,2,2968,224452,265,8257,186,21148,6399,9435,70857,21295,32,1525,318,1131,4398,2698
2021-06-06,3002,80490,12677,323,1,15088,470730,3,213,29663,4846,91113,4146,995,3644,20677,2276,8180,411,300,6410,347606,51063,13647,2,3018,224587,265,8363,186,21183,6403,9492,71072,21375,32,1546,322,1144,4420,2710
2021-06-07,3016,80915,12694,323,1,15169,471694,3,215,29731,4846,91510,4177,1003,3647,20700,2280,8188,414,302,6426,350217,51181,13735,2,3069,224782,265,8522,186,21229,6408,9549,71281,21449,32,1573,328,1166,4449,2722
2021-06-08,3030,81293,12708,323,1,15243,472879,3,217,29762,4846,91900,4204,1009,3649,20712,2284,8198,416,303,6445,352425,51297,13823,2,3117,224947,265,8687,186,21257,6413,9613,71479,21488,32,1589,334,1188,4470,2732
