,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2021-05-28,2884,76702,12508,323,1,14399,458776,3,197,28930,4846,87193,3952,930,3623,20416,2237,8086,381,293,6297,322314,50042,12814,2,2551,222911,264,7116,186,20687,6365,8878,69076,20519,32,1334,281,949,4113,2593
2021-05-29,2895,77083,12533,323,1,14479,460250,3,198,29031,4846,87624,3970,938,3625,20471,2241,8097,384,294,6318,325213,50158,12904,2,2598,223089,264,7227,186,20756,6369,8944,69239,20637,32,1366,284,967,4150,2604
2021-05-30,2908,77480,12559,323,1,14568,461341,3,201,29130,4846,88120,3987,946,3628,20504,2246,8106,388,296,6329,328319,50272,12985,2,2651,223251,265,7368,186,20816,6373,9021,69561,20762,32,1393,289,987,4191,2621
2021-05-31,2923,78074,12587,323,1,14665,462952,3,204,29212,4846,88679,4026,957,3631,20541,2251,8116,393,298,6355,332382,50422,13118,2,2714,223435,265,7591,186,20895,6378,9107,69831,20871,32,1431,296,1018,4249,2637
2021-06-01,2939,78618,12615,323,1,14766,465075,3,207,29269,4846,89194,4063,969,3634,20581,2256,8128,397,300,6389,336588,50581,13256,2,2776,223654,267,7792,186,20968,6383,9198,70197,20965,32,1459,303,1050,4298,2654
2021-06-02,2955,79171,12639,323,1,14879,467348,3,210,29344,4846,89732,4091,978,3637,20630,2261,8145,402,302,6418,340347,50730,13370,2,2832,223940,269,7962,186,21052,6388,9286,70629,21115,32,1488,308,1081,4346,2673
2021-06-03,2971,79735,12661,323,1,14974,469401,3,212,29479,4846,90246,4122,986,3640,20690,2265,8162,407,304,6450,343685,50862,13501,2,2894,224219,271,8153,186,21137,6392,9370,70824,21260,32,1511,314,1112,4391,2688
2021-06-04,2987,80268,12681,323,1,15065,471142,3,214,29599,4846,90738,4152,994,3642,20757,2270,8176,411,305,6481,346862,50986,13622,2,2958,224481,271,8328,186,21207,6396,9441,71019,21383,32,1548,320,1139,4427,2702
2021-06-05,3002,80748,12700,323,1,15161,472764,3,216,29693,4846,91234,4179,1002,3645,20827,2275,8190,416,308,6507,349886,51110,13748,2,3022,224691,271,8533,186,21278,6401,9521,71286,21506,32,1588,325,1165,4468,2714
2021-06-06,3016,81082,12717,323,1,15257,473704,3,219,29795,4846,91669,4197,1008,3648,20854,2279,8198,419,309,6514,352739,51224,13836,2,3083,224853,271,8671,186,21336,6406,9588,71531,21601,32,1613,330,1184,4496,2727
2021-06-07,3031,81558,12736,323,1,15352,474824,3,222,29871,4846,92121,4234,1017,3651,20895,2284,8207,422,311,6538,355667,51353,13942,2,3138,225074,271,8849,186,21395,6412,9655,71783,21701,32,1646,336,1210,4532,2740
2021-06-08,3047,82001,12754,323,1,15440,476211,3,225,29915,4846,92551,4267,1025,3653,20914,2289,8218,425,313,6566,358255,51481,14054,2,3195,225281,272,9034,186,21432,6417,9730,72043,21760,32,1672,344,1235,4559,2752
2021-06-09,3064,82499,12770,323,1,15544,478181,3,229,29980,4846,92962,4299,1031,3655,20948,2295,8235,431,314,6590,360987,51606,14161,2,3250,225562,272,9215,186,21487,6422,9796,72416,21872,32,1697,349,1266,4593,2766
2021-06-10,3080,82966,12787,323,1,15641,479781,3,231,30118,4846,93380,4324,1037,3658,20997,2300,8249,435,316,6612,363714,51719,14301,2,3314,225850,273,9386,186,21544,6426,9865,72596,21996,32,1716,355,1291,4627,2778
2021-06-11,3094,83460,12804,323,1,15739,481285,3,233,30228,4846,93889,4348,1043,3661,21040,2305,8264,438,317,6643,366392,51834,14427,2,3372,226108,273,9553,186,21601,6431,9929,72802,22103,32,1739,361,1314,4667,2791
2021-06-12,3107,83809,12821,323,1,15848,482466,3,234,30325,4846,94265,4369,1048,3664,21093,2309,8279,441,318,6664,368466,51934,14521,2,3423,226347,273,9681,186,21651,6436,9989,72975,22196,32,1761,366,1331,4695,2800
2021-06-13,3120,84076,12840,323,1,15943,483233,3,237,30416,4846,94641,4384,1055,3667,21121,2314,8289,444,320,6673,370834,52037,14591,2,3473,226585,273,9810,186,21696,6441,10048,73233,22282,32,1783,372,1347,4719,2811
2021-06-14,3135,84451,12859,323,1,16013,484150,3,240,30492,4846,95050,4416,1063,3669,21146,2318,8297,446,322,6689,373461,52154,14691,2,3523,226793,273,9959,186,21739,6446,10108,73420,22352,32,1803,378,1367,4752,2821
2021-06-15,3151,84887,12875,323,1,16090,485646,3,243,30536,4846,95443,4450,1071,3671,21184,2324,8307,449,325,6712,376192,52286,14810,2,3574,227021,273,10225,186,21778,6452,10171,73655,22419,32,1823,385,1391,4778,2831
2021-06-16,3169,85370,12885,323,1,16205,487392,3,246,30591,4846,95808,4481,1076,3673,21242,2330,8323,453,327,6734,378254,52407,14912,2,3633,227328,273,10370,186,21836,6457,10236,74018,22526,32,1844,390,1416,4803,2843
