Policy,score
H7_Vaccination policy,90
H2_Testing policy,90
E1_Income support,90
C5_Close public transport,90
C8_International travel controls,70
H3_Contact tracing,70
C4_Restrictions on gatherings,70
H6_Facial Coverings,70
C7_Restrictions on internal movement,50
H8_Protection of elderly people,50
C6_Stay at home requirements,50
C2_Workplace closing,50
E2_Debt/contract relief,30
C1_School closing,30
H1_Public information campaigns,30
C3_Cancel public events,30
H4_Emergency investment in healthcare,10
E3_Fiscal measures,10
E4_International support,10
H5_Investment in vaccines,10
