,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2021-05-28,57044,3239357,735930,12376,1186,289067,14484828,228,20577,1286854,97707,3116112,240248,130957,238815,366425,68018,231548,14278,12509,84233,25013193,1652367,657924,1281,471925,1923164,48749,421497,4225,836332,364176,285259,1896081,1134878,61383,144612,11282,26873,240747,211770
2021-05-29,57116,3250564,736241,12377,1186,289595,14484828,228,20683,1290370,97707,3127055,240248,131223,239018,366425,68018,232038,14296,12509,84233,25066044,1654748,658974,1281,473815,1924847,48749,422667,4225,837202,364529,286152,1897681,1135792,61395,145132,11324,26873,242590,211770
2021-05-30,57165,3256923,736576,12378,1186,289972,14484828,228,20683,1293424,97707,3136172,240248,131426,239248,366425,68018,232467,14314,12509,84233,25075790,1657319,659866,1281,475016,1926485,48749,423120,4225,837766,364887,287069,1897681,1137656,61406,145383,11359,26873,242752,211770
2021-05-31,57242,3258223,737200,12379,1186,290072,14484828,228,20767,1295899,97707,3142856,240248,131847,239524,366425,68018,232963,14335,12509,84242,25098575,1659946,660604,1281,476193,1928128,48749,423562,4225,838092,365249,287748,1897681,1138721,61418,145383,11388,26873,243737,211770
2021-06-01,57313,3265040,737999,12381,1186,290072,14488257,228,20848,1299075,97707,3151747,240248,132167,239806,366425,68018,233411,14335,12509,84298,25109036,1662886,661516,1281,477247,1929784,48749,424900,4225,838092,365622,288130,1897681,1140184,61431,145916,11420,26873,243851,211916
2021-06-02,57369,3270158,738564,12382,1186,290206,14502081,228,20958,1301920,97707,3161969,240248,132611,240083,366425,68018,233754,14376,12509,84298,25117290,1665550,662645,1281,478621,1931438,48749,426355,4225,838092,365997,288412,1897801,1141667,61445,145972,11460,26873,244240,211916
2021-06-03,57444,3281610,739178,12383,1186,290447,14502081,228,21034,1304420,97707,3170186,240258,133052,240362,366425,68018,234147,14385,12509,84330,25117290,1667609,663296,1281,479407,1933062,48749,426625,4225,838451,366364,289138,1897801,1142017,61456,145972,11483,26873,244995,211916
2021-06-04,57546,3294316,739706,12384,1186,291055,14505824,228,21101,1307624,97707,3176954,240258,133431,240567,366425,68018,234596,14415,12509,84330,25195520,1669990,665134,1281,480864,1934698,48749,427159,4225,839341,366737,289726,1898517,1143605,61467,146557,11526,26873,245995,211916
2021-06-05,57611,3298625,740212,12385,1186,291755,14512332,228,21129,1310720,97707,3185789,240258,133625,240779,366425,68018,235077,14440,12509,84330,25221380,1672409,666393,1281,482200,1936410,48749,427159,4225,839987,367119,290550,1898517,1144788,61483,146557,11555,26873,246931,212086
2021-06-06,57669,3310934,740989,12387,1186,292190,14512332,228,21129,1313628,97707,3193076,240258,133871,241038,366425,68018,235327,14450,12509,84337,25221380,1674792,666572,1281,483815,1938124,48749,427871,4225,840542,367480,291079,1898517,1145342,61497,146559,11579,26873,248002,212086
2021-06-07,57719,3310934,741551,12387,1186,292241,14512332,228,21129,1316537,97707,3200671,240258,134021,241248,366425,68018,235633,14450,12509,84344,25221380,1677065,666572,1281,484264,1939683,48749,427871,4225,840590,367850,291378,1898517,1145969,61504,146559,11579,26873,248271,212086
2021-06-08,57735,3317690,742184,12388,1186,292241,14512332,228,21129,1319206,97707,3207917,240258,134243,241512,366425,68018,236047,14463,12509,84392,25221380,1679711,666572,1281,485226,1941359,48749,429762,4225,840782,368223,291722,1898517,1147417,61516,147074,11603,26873,248696,212283
2021-06-09,57820,3322007,742661,12388,1186,292241,14512332,228,21140,1321194,97707,3214956,240387,134422,241729,366425,68018,236393,14472,12509,84392,25221380,1682076,667334,1281,486287,1942981,48749,429762,4225,840782,368598,292250,1898517,1148240,61526,147074,11622,26873,248705,212293
2021-06-10,57894,3322602,743351,12389,1186,292241,14512332,228,21140,1323363,97707,3222587,240387,134536,241969,366425,68018,236555,14476,12509,84400,25221380,1684562,667334,1281,486287,1944646,48749,429762,4225,840782,368968,292428,1898938,1148240,61539,147252,11648,26873,249050,212293
2021-06-11,57973,3323876,743655,12389,1186,292241,14512332,228,21140,1325823,97707,3228167,240387,134600,242161,366425,68018,236824,14476,12509,84400,25221380,1686849,667334,1281,486434,1946250,48749,429762,4225,840782,369343,292834,1899724,1148460,61550,147539,11663,26873,249150,212497
2021-06-12,58005,3329678,744065,12389,1186,292394,14516304,228,21140,1328374,97707,3232764,240387,134600,242335,366425,68018,237290,14490,12509,84400,25221380,1689298,667523,1281,487672,1947873,48749,429762,4225,841367,369710,293357,1899724,1149521,61561,147539,11682,26873,249657,212497
2021-06-13,58057,3333307,744553,12390,1186,292394,14516304,228,21140,1331241,97707,3238727,240387,134778,242550,366425,68018,237559,14496,12509,84416,25221380,1691834,667523,1281,489006,1949570,48749,429762,4225,841367,370096,293558,1899724,1149921,61574,147904,11695,26873,250215,212649
