,Nicaragua,Nepal,Cambodia,Haiti,Paraguay,Suriname,Malaysia,Singapore,Costa Rica,Indonesia,Cuba,India,Philippines,Colombia,Mongolia,Afghanistan,Mexico,Bhutan,Bangladesh,El Salvador,Dominican Republic,Ecuador,Guyana,Thailand,China,Uruguay,Argentina,Japan,Belize,Pakistan,Honduras,Brazil,Chile,Panama,Peru,Guatemala,Sri Lanka
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,548,0,0,2,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,642,0,0,2,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,920,0,0,2,0,0,0,0,0,0,0,0,0
2020-01-25,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1406,0,0,2,0,0,0,0,0,0,0,0,0
2020-01-26,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2075,0,0,4,0,0,0,0,0,0,0,0,0
2020-01-27,0,1,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2877,0,0,4,0,0,0,0,0,0,0,0,1
2020-01-28,0,1,1,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5509,0,0,7,0,0,0,0,0,0,0,0,1
2020-01-29,0,1,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6087,0,0,7,0,0,0,0,0,0,0,0,1
2020-01-30,0,1,1,0,0,0,8,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,8141,0,0,11,0,0,0,0,0,0,0,0,1
2020-01-31,0,1,1,0,0,0,8,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,9802,0,0,15,0,0,0,0,0,0,0,0,1
2020-02-01,0,1,1,0,0,0,8,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,11891,0,0,20,0,0,0,0,0,0,0,0,1
2020-02-02,0,1,1,0,0,0,8,18,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,18,16630,0,0,20,0,0,0,0,0,0,0,0,1
2020-02-03,0,1,1,0,0,0,8,18,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,18,19716,0,0,20,0,0,0,0,0,0,0,0,1
2020-02-04,0,1,1,0,0,0,10,24,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,24,23706,0,0,21,0,0,0,0,0,0,0,0,1
2020-02-05,0,1,1,0,0,0,12,27,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,24,27440,0,0,23,0,0,0,0,0,0,0,0,1
2020-02-06,0,1,1,0,0,0,12,27,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,24,30587,0,0,23,0,0,0,0,0,0,0,0,1
2020-02-07,0,1,1,0,0,0,12,29,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,24,34110,0,0,23,0,0,0,0,0,0,0,0,1
2020-02-08,0,1,1,0,0,0,16,33,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,32,36814,0,0,24,0,0,0,0,0,0,0,0,1
2020-02-09,0,1,1,0,0,0,16,40,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,32,39828,0,0,24,0,0,0,0,0,0,0,0,1
2020-02-10,0,1,1,0,0,0,18,44,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,32,42354,0,0,26,0,0,0,0,0,0,0,0,1
2020-02-11,0,1,1,0,0,0,18,46,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,33,44386,0,0,27,0,0,0,0,0,0,0,0,1
2020-02-12,0,1,1,0,0,0,18,50,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,33,44759,0,0,28,0,0,0,0,0,0,0,0,1
2020-02-13,0,1,1,0,0,0,19,58,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,33,59895,0,0,33,0,0,0,0,0,0,0,0,1
2020-02-14,0,1,1,0,0,0,19,67,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,33,66358,0,0,43,0,0,0,0,0,0,0,0,1
2020-02-15,0,1,1,0,0,0,22,72,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,34,68413,0,0,54,0,0,0,0,0,0,0,0,1
2020-02-16,0,1,1,0,0,0,22,74,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,34,70513,0,0,60,0,0,0,0,0,0,0,0,1
2020-02-17,0,1,1,0,0,0,22,77,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,35,72434,0,0,67,0,0,0,0,0,0,0,0,1
2020-02-18,0,1,1,0,0,0,22,81,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,35,74211,0,0,79,0,0,0,0,0,0,0,0,1
2020-02-19,0,1,1,0,0,0,22,84,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,35,74619,0,0,85,0,0,0,0,0,0,0,0,1
2020-02-20,0,1,1,0,0,0,22,84,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,35,75077,0,0,94,0,0,0,0,0,0,0,0,1
2020-02-21,0,1,1,0,0,0,22,85,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,35,75550,0,0,112,0,0,0,0,0,0,0,0,1
2020-02-22,0,1,1,0,0,0,22,85,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,35,77001,0,0,137,0,0,0,0,0,0,0,0,1
2020-02-23,0,1,1,0,0,0,22,89,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,35,77022,0,0,148,0,0,0,0,1,0,0,0,1
2020-02-24,0,1,1,0,0,0,22,89,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,35,77241,0,0,160,0,0,0,0,1,0,0,0,1
