,Bhutan,Afghanistan,Belize,Mongolia,Indonesia,Peru,Uruguay,Pakistan,Bangladesh,Sri Lanka,Nicaragua,Japan,India,Dominican Republic,Mexico,Singapore,Cuba,Panama,Brazil,Honduras,Paraguay,Cambodia,Nepal,Suriname,Philippines,Ecuador,China,Colombia,Thailand,El Salvador,Guatemala,Costa Rica,Haiti,Argentina,Chile,Guyana,Malaysia
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,4,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,4,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,920,0,5,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1406,0,6,0,0,0,0,0,0,0,3
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2075,0,8,0,0,0,0,0,0,0,4
2020-01-27,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5,0,0,0,0,0,1,1,0,0,0,2877,0,8,0,0,0,0,0,0,0,4
2020-01-28,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,6,0,0,0,0,0,1,1,0,0,0,5509,0,14,0,0,0,0,0,0,0,4
2020-01-29,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,6,0,0,0,0,0,1,1,0,0,0,6087,0,14,0,0,0,0,0,0,0,6
2020-01-30,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,10,0,0,0,0,0,1,1,0,0,0,8141,0,14,0,0,0,0,0,0,0,8
2020-01-31,0,0,0,0,0,0,0,0,0,1,0,15,1,0,0,13,0,0,0,0,0,1,1,0,0,0,9802,0,18,0,0,0,0,0,0,0,8
2020-02-01,0,0,0,0,0,0,0,0,0,1,0,20,1,0,0,16,0,0,0,0,0,1,1,0,0,0,11891,0,18,0,0,0,0,0,0,0,8
2020-02-02,0,0,0,0,0,0,0,0,0,1,0,20,1,0,0,18,0,0,0,0,0,1,1,0,2,0,16630,0,18,0,0,0,0,0,0,0,8
2020-02-03,0,0,0,0,0,0,0,0,0,1,0,20,3,0,0,18,0,0,0,0,0,1,1,0,2,0,19716,0,18,0,0,0,0,0,0,0,8
2020-02-04,0,0,0,0,0,0,0,0,0,1,0,21,3,0,0,24,0,0,0,0,0,1,1,0,2,0,23706,0,24,0,0,0,0,0,0,0,10
2020-02-05,0,0,0,0,0,0,0,0,0,1,0,23,3,0,0,27,0,0,0,0,0,1,1,0,2,0,27440,0,24,0,0,0,0,0,0,0,12
2020-02-06,0,0,0,0,0,0,0,0,0,1,0,23,3,0,0,27,0,0,0,0,0,1,1,0,2,0,30587,0,24,0,0,0,0,0,0,0,12
2020-02-07,0,0,0,0,0,0,0,0,0,1,0,23,3,0,0,29,0,0,0,0,0,1,1,0,3,0,34110,0,24,0,0,0,0,0,0,0,12
2020-02-08,0,0,0,0,0,0,0,0,0,1,0,24,3,0,0,33,0,0,0,0,0,1,1,0,3,0,36814,0,32,0,0,0,0,0,0,0,16
2020-02-09,0,0,0,0,0,0,0,0,0,1,0,24,3,0,0,40,0,0,0,0,0,1,1,0,3,0,39828,0,32,0,0,0,0,0,0,0,16
2020-02-10,0,0,0,0,0,0,0,0,0,1,0,26,3,0,0,44,0,0,0,0,0,1,1,0,3,0,42354,0,32,0,0,0,0,0,0,0,18
2020-02-11,0,0,0,0,0,0,0,0,0,1,0,27,3,0,0,46,0,0,0,0,0,1,1,0,3,0,44386,0,33,0,0,0,0,0,0,0,18
2020-02-12,0,0,0,0,0,0,0,0,0,1,0,28,3,0,0,50,0,0,0,0,0,1,1,0,3,0,44759,0,33,0,0,0,0,0,0,0,18
2020-02-13,0,0,0,0,0,0,0,0,0,1,0,33,3,0,0,58,0,0,0,0,0,1,1,0,3,0,59895,0,33,0,0,0,0,0,0,0,19
2020-02-14,0,0,0,0,0,0,0,0,0,1,0,43,3,0,0,67,0,0,0,0,0,1,1,0,3,0,66358,0,33,0,0,0,0,0,0,0,19
2020-02-15,0,0,0,0,0,0,0,0,0,1,0,54,3,0,0,72,0,0,0,0,0,1,1,0,3,0,68413,0,34,0,0,0,0,0,0,0,22
2020-02-16,0,0,0,0,0,0,0,0,0,1,0,60,3,0,0,74,0,0,0,0,0,1,1,0,3,0,70513,0,34,0,0,0,0,0,0,0,22
2020-02-17,0,0,0,0,0,0,0,0,0,1,0,67,3,0,0,77,0,0,0,0,0,1,1,0,3,0,72434,0,35,0,0,0,0,0,0,0,22
2020-02-18,0,0,0,0,0,0,0,0,0,1,0,79,3,0,0,81,0,0,0,0,0,1,1,0,3,0,74211,0,35,0,0,0,0,0,0,0,22
2020-02-19,0,0,0,0,0,0,0,0,0,1,0,85,3,0,0,84,0,0,0,0,0,1,1,0,3,0,74619,0,35,0,0,0,0,0,0,0,22
2020-02-20,0,0,0,0,0,0,0,0,0,1,0,94,3,0,0,84,0,0,0,0,0,1,1,0,3,0,75077,0,35,0,0,0,0,0,0,0,22
2020-02-21,0,0,0,0,0,0,0,0,0,1,0,112,3,0,0,85,0,0,0,0,0,1,1,0,3,0,75550,0,35,0,0,0,0,0,0,0,22
2020-02-22,0,0,0,0,0,0,0,0,0,1,0,137,3,0,0,85,0,0,0,0,0,1,1,0,3,0,77001,0,35,0,0,0,0,0,0,0,22
2020-02-23,0,0,0,0,0,0,0,0,0,1,0,148,3,0,0,89,0,0,0,0,0,1,1,0,3,0,77022,0,35,0,0,0,0,0,1,0,22
2020-02-24,0,1,0,0,0,0,0,0,0,1,0,160,3,0,0,89,0,0,0,0,0,1,1,0,3,0,77241,0,35,0,0,0,0,0,1,0,22
2020-02-25,0,1,0,0,0,0,0,2,0,1,0,172,3,0,0,91,0,0,0,0,0,1,1,0,3,0,77754,0,37,0,0,0,0,0,1,0,22
2020-02-26,0,1,0,0,0,0,0,2,0,1,0,192,3,0,0,93,0,0,0,0,0,1,1,0,3,0,78166,0,40,0,0,0,0,0,1,0,22
2020-02-27,0,1,0,0,0,0,0,2,0,1,0,218,3,0,0,93,0,0,0,0,0,1,1,0,3,0,78600,0,40,0,0,0,0,0,1,0,23
2020-02-28,0,1,0,0,0,0,0,4,0,1,0,236,3,0,1,93,0,0,0,0,0,1,1,0,3,0,78928,0,41,0,0,0,0,0,1,0,23
2020-02-29,0,1,0,0,0,0,0,4,0,1,0,245,3,0,4,101,0,0,1,0,0,1,1,0,3,0,79356,0,42,0,0,0,0,0,1,0,25
2020-03-01,0,1,0,0,0,0,0,4,0,1,0,259,3,0,5,106,0,0,1,0,0,1,1,0,3,6,79931,0,42,0,0,0,0,0,9,0,28
2020-03-02,0,1,0,0,2,0,0,5,0,1,0,278,5,0,5,108,0,0,1,0,0,1,1,0,3,6,80135,0,42,0,0,0,0,0,9,0,28
