Country,Policy,score,score_level
Afghanistan,H6_Facial Coverings,0.112041052,very high
Afghanistan,H1_Public information campaigns,0.088893583,very high
Afghanistan,H2_Testing policy,0.084492074,very high
Afghanistan,C8_International travel controls,0.08333046,very high
Afghanistan,H7_Vaccination policy,0.076740918,high
Afghanistan,C2_Workplace closing,0.070341997,high
Afghanistan,H3_Contact tracing,0.066306832,high
Afghanistan,E2_Debt/contract relief,0.065740593,high
Afghanistan,C1_School closing,0.062154255,medium
Afghanistan,C5_Close public transport,0.05639671,medium
Afghanistan,C7_Restrictions on internal movement,0.044469033,medium
Afghanistan,H8_Protection of elderly people,0.042338121,medium
Afghanistan,H4_Emergency investment in healthcare,0.040975013,low
Afghanistan,C3_Cancel public events,0.038502998,low
Afghanistan,H5_Investment in vaccines,0.035819549,low
Afghanistan,C4_Restrictions on gatherings,0.012268546,low
Afghanistan,E4_International support,0.011612953,very low
Afghanistan,E1_Income support,0.005223992,very low
Afghanistan,C6_Stay at home requirements,0.002351319,very low
Afghanistan,E3_Fiscal measures,0,very low
Argentina,H7_Vaccination policy,0.117822829,very high
Argentina,C8_International travel controls,0.112756619,very high
Argentina,H2_Testing policy,0.085684258,very high
Argentina,C1_School closing,0.080094386,very high
Argentina,C2_Workplace closing,0.073106024,high
Argentina,E2_Debt/contract relief,0.072708352,high
Argentina,H8_Protection of elderly people,0.072347199,high
Argentina,H3_Contact tracing,0.067963698,high
Argentina,C4_Restrictions on gatherings,0.05954751,medium
Argentina,H4_Emergency investment in healthcare,0.056400612,medium
Argentina,H6_Facial Coverings,0.051315509,medium
Argentina,E3_Fiscal measures,0.038126467,medium
Argentina,C6_Stay at home requirements,0.030691331,low
Argentina,C7_Restrictions on internal movement,0.019377924,low
Argentina,E1_Income support,0.016254218,low
Argentina,C3_Cancel public events,0.013570402,low
Argentina,E4_International support,0.012404239,very low
Argentina,H1_Public information campaigns,0.010048208,very low
Argentina,C5_Close public transport,0.009780214,very low
Argentina,H5_Investment in vaccines,0,very low
Bangladesh,H7_Vaccination policy,0.130829689,very high
Bangladesh,H6_Facial Coverings,0.079320438,very high
Bangladesh,C2_Workplace closing,0.078028841,very high
Bangladesh,H3_Contact tracing,0.065089721,very high
Bangladesh,C5_Close public transport,0.06486674,high
Bangladesh,C4_Restrictions on gatherings,0.064521951,high
Bangladesh,H8_Protection of elderly people,0.064439214,high
Bangladesh,H2_Testing policy,0.06073339,high
Bangladesh,E2_Debt/contract relief,0.05241647,medium
Bangladesh,C8_International travel controls,0.050514533,medium
Bangladesh,C6_Stay at home requirements,0.049583492,medium
