Country,Policy,score,score_level
Afghanistan,H6_Facial Coverings,0.09882370470947002,very high
Afghanistan,H1_Public information campaigns,0.095324898916842,very high
Afghanistan,H2_Testing policy,0.07376580671777007,very high
Afghanistan,C8_International travel controls,0.0640579020791387,very high
Afghanistan,H7_Vaccination policy,0.060158110567025046,high
Afghanistan,C2_Workplace closing,0.05877076478393115,high
Afghanistan,H3_Contact tracing,0.05775320276915846,high
Afghanistan,E2_Debt/contract relief,0.05608932059071888,high
Afghanistan,C1_School closing,0.05468900402588034,medium
Afghanistan,C7_Restrictions on internal movement,0.050716248511396986,medium
Afghanistan,H8_Protection of elderly people,0.04983729234412846,medium
Afghanistan,C3_Cancel public events,0.04786214333261377,medium
Afghanistan,H4_Emergency investment in healthcare,0.043933402946493984,low
Afghanistan,C5_Close public transport,0.038435008278694144,low
Afghanistan,E4_International support,0.03439238607912863,low
Afghanistan,C4_Restrictions on gatherings,0.032360762263505094,low
Afghanistan,C6_Stay at home requirements,0.030219897220485598,very low
Afghanistan,E1_Income support,0.030025441320655308,very low
Afghanistan,H5_Investment in vaccines,0.02278470254296338,very low
Afghanistan,E3_Fiscal measures,0.0,very low
Albania,H7_Vaccination policy,0.11204105159174643,very high
Albania,H6_Facial Coverings,0.08889358344849281,very high
Albania,C6_Stay at home requirements,0.08449207440839582,very high
Albania,E2_Debt/contract relief,0.0833304604566972,very high
Albania,C7_Restrictions on internal movement,0.07674091773121455,high
Albania,H3_Contact tracing,0.07034199695110133,high
Albania,C8_International travel controls,0.0663068324112209,high
Albania,C1_School closing,0.06574059341771515,high
Albania,E3_Fiscal measures,0.06215425468167609,medium
Albania,H2_Testing policy,0.05639671017572814,medium
Albania,C2_Workplace closing,0.04446903299278173,medium
Albania,C5_Close public transport,0.04233812130803381,medium
Albania,E1_Income support,0.04097501285823903,low
Albania,H5_Investment in vaccines,0.03850299821035401,low
Albania,C4_Restrictions on gatherings,0.035819549178634905,low
Albania,H8_Protection of elderly people,0.012268546396520284,low
Albania,E4_International support,0.011612952748021479,very low
Albania,H1_Public information campaigns,0.0052239919692968805,very low
Albania,H4_Emergency investment in healthcare,0.002351319064129682,very low
Albania,C3_Cancel public events,0.0,very low
Algeria,H3_Contact tracing,0.1178228292272556,very high
Algeria,C1_School closing,0.1127566187421929,very high
Algeria,E2_Debt/contract relief,0.08568425848009908,very high
Algeria,H2_Testing policy,0.08009438606552143,very high
Algeria,C3_Cancel public events,0.07310602401257105,high
Algeria,C2_Workplace closing,0.0727083524523896,high
Algeria,C4_Restrictions on gatherings,0.07234719943087946,high
Algeria,H6_Facial Coverings,0.06796369810418008,high
Algeria,H1_Public information campaigns,0.059547510004614036,medium
Algeria,C7_Restrictions on internal movement,0.056400611530405015,medium
Algeria,C5_Close public transport,0.05131550920249112,medium
Algeria,H7_Vaccination policy,0.03812646702384357,medium
Algeria,H4_Emergency investment in healthcare,0.03069133079516321,low
Algeria,E1_Income support,0.019377923959879865,low
Algeria,C8_International travel controls,0.01625421756604714,low
Algeria,E3_Fiscal measures,0.013570402412923739,low
Algeria,H5_Investment in vaccines,0.012404239059639619,very low
Algeria,E4_International support,0.010048208129447253,very low
Algeria,C6_Stay at home requirements,0.00978021380045616,very low
Algeria,H8_Protection of elderly people,0.0,very low
Andorra,H7_Vaccination policy,0.13082968900458875,very high
Andorra,H2_Testing policy,0.07932043791489934,very high
Andorra,C4_Restrictions on gatherings,0.07802884055108555,very high
Andorra,E2_Debt/contract relief,0.06508972113977762,very high
Andorra,H1_Public information campaigns,0.06486674018830153,high
Andorra,C8_International travel controls,0.06452195058414352,high
Andorra,C1_School closing,0.0644392139205212,high
Andorra,H3_Contact tracing,0.060733389522341516,high
Andorra,H8_Protection of elderly people,0.05241646967994483,medium
Andorra,C7_Restrictions on internal movement,0.05051453271315599,medium
Andorra,C5_Close public transport,0.049583491940782404,medium
Andorra,C2_Workplace closing,0.04935215068924733,medium
Andorra,H4_Emergency investment in healthcare,0.043761712464136716,low
Andorra,E3_Fiscal measures,0.039924706585477955,low
Andorra,H6_Facial Coverings,0.03790252410322099,low
Andorra,E4_International support,0.026190233022825367,low
Andorra,C3_Cancel public events,0.021770344364475096,very low
Andorra,E1_Income support,0.01061686564836082,very low
Andorra,C6_Stay at home requirements,0.010136985962713422,very low
Andorra,H5_Investment in vaccines,0.0,very low
Angola,H7_Vaccination policy,0.0993427389143127,very high
Angola,H6_Facial Coverings,0.07220047435757439,very high
Angola,C1_School closing,0.06745089084906794,very high
Angola,C7_Restrictions on internal movement,0.06585389724152077,very high
Angola,C8_International travel controls,0.06546686508894267,high
Angola,H1_Public information campaigns,0.06258600170421937,high
Angola,H2_Testing policy,0.0583963547729518,high
Angola,E1_Income support,0.057646380590832005,high
Angola,H8_Protection of elderly people,0.05511837002339866,medium
Angola,C2_Workplace closing,0.05424753476928356,medium
Angola,E2_Debt/contract relief,0.052750981960573796,medium
Angola,C4_Restrictions on gatherings,0.05200411578854285,medium
Angola,C6_Stay at home requirements,0.04899040380789736,low
Angola,H4_Emergency investment in healthcare,0.04244981982505934,low
Angola,E4_International support,0.03904279247632078,low
Angola,C5_Close public transport,0.03461912328265113,low
Angola,H3_Contact tracing,0.03450265264537018,very low
Angola,H5_Investment in vaccines,0.02507193017516492,very low
Angola,C3_Cancel public events,0.012258671726315912,very low
Angola,E3_Fiscal measures,0.0,very low
Argentina,H7_Vaccination policy,0.08276858645094196,very high
Argentina,C8_International travel controls,0.07458429960139469,very high
Argentina,H2_Testing policy,0.0736182811643591,very high
Argentina,C1_School closing,0.07241055074172763,very high
Argentina,C2_Workplace closing,0.06901968253772639,high
Argentina,H8_Protection of elderly people,0.06835129353750409,high
Argentina,E2_Debt/contract relief,0.06493694871242879,high
Argentina,C4_Restrictions on gatherings,0.060680865191923256,high
Argentina,H4_Emergency investment in healthcare,0.058852813949530666,medium
Argentina,H6_Facial Coverings,0.05608296298638584,medium
Argentina,E3_Fiscal measures,0.05111516226967721,medium
Argentina,C6_Stay at home requirements,0.0462981689214594,medium
Argentina,C7_Restrictions on internal movement,0.04488662782702969,low
Argentina,E1_Income support,0.03395340058065051,low
Argentina,C5_Close public transport,0.03265053319337842,low
Argentina,E4_International support,0.030754437529043863,low
Argentina,H1_Public information campaigns,0.029526805821145984,very low
Argentina,H3_Contact tracing,0.028309296019313198,very low
Argentina,H5_Investment in vaccines,0.021199282964379066,very low
Argentina,C3_Cancel public events,0.0,very low
Australia,H6_Facial Coverings,0.08704965216025719,very high
Australia,E2_Debt/contract relief,0.07669900230103018,very high
Australia,H2_Testing policy,0.07463706653606315,very high
Australia,H8_Protection of elderly people,0.07252400489613002,very high
Australia,H7_Vaccination policy,0.06713260522058538,high
Australia,C1_School closing,0.06460142121700038,high
Australia,C6_Stay at home requirements,0.06400636237405151,high
Australia,C4_Restrictions on gatherings,0.0604482764451665,high
Australia,C2_Workplace closing,0.05892762259804028,medium
Australia,C8_International travel controls,0.057495228677882114,medium
Australia,E3_Fiscal measures,0.0484365006163573,medium
Australia,E1_Income support,0.04510224776839309,medium
Australia,H4_Emergency investment in healthcare,0.04225280394566512,low
Australia,C3_Cancel public events,0.038848609650454405,low
Australia,E4_International support,0.038241177615183974,low
Australia,C7_Restrictions on internal movement,0.030498962469383512,low
Australia,H5_Investment in vaccines,0.027954679362040564,very low
Australia,C5_Close public transport,0.023715944268484866,very low
Australia,H1_Public information campaigns,0.02142783187783048,very low
Australia,H3_Contact tracing,0.0,very low
Austria,H7_Vaccination policy,0.1225047169648623,very high
Austria,H2_Testing policy,0.10853600823342768,very high
Austria,C6_Stay at home requirements,0.08538744812588873,very high
Austria,C5_Close public transport,0.0847497854350041,very high
Austria,C1_School closing,0.08254068275425343,high
Austria,C2_Workplace closing,0.069983159192496,high
Austria,H6_Facial Coverings,0.06747331949974307,high
Austria,C3_Cancel public events,0.06641651679913715,high
Austria,E3_Fiscal measures,0.044683314015341945,medium
Austria,E4_International support,0.042168103953062426,medium
Austria,C7_Restrictions on internal movement,0.03768399926560911,medium
Austria,H8_Protection of elderly people,0.036026296688959285,medium
Austria,C4_Restrictions on gatherings,0.03290449679233406,low
Austria,H3_Contact tracing,0.03155759276349748,low
Austria,E1_Income support,0.02671412545448168,low
Austria,C8_International travel controls,0.02509389186144941,low
Austria,H5_Investment in vaccines,0.023945872796198007,very low
Austria,E2_Debt/contract relief,0.0092042831479005,very low
Austria,H1_Public information campaigns,0.002426386256353733,very low
Austria,H4_Emergency investment in healthcare,0.0,very low
Azerbaijan,H7_Vaccination policy,0.19877496869681993,very high
Azerbaijan,H6_Facial Coverings,0.1135977629508136,very high
Azerbaijan,E1_Income support,0.08942397652175682,very high
Azerbaijan,C7_Restrictions on internal movement,0.08889765632064041,very high
Azerbaijan,C2_Workplace closing,0.07374437725665504,high
Azerbaijan,H2_Testing policy,0.06831469844593745,high
Azerbaijan,C5_Close public transport,0.05705569552371482,high
Azerbaijan,C1_School closing,0.05367507126928377,high
Azerbaijan,H8_Protection of elderly people,0.038942286303012844,medium
Azerbaijan,C6_Stay at home requirements,0.03496637920352131,medium
Azerbaijan,C8_International travel controls,0.032558653852769875,medium
Azerbaijan,E2_Debt/contract relief,0.028746689185969454,medium
Azerbaijan,H4_Emergency investment in healthcare,0.02654895102035528,low
Azerbaijan,C3_Cancel public events,0.025388866379085818,low
Azerbaijan,E3_Fiscal measures,0.018486577796564242,low
Azerbaijan,E4_International support,0.017515835431087843,low
Azerbaijan,H1_Public information campaigns,0.017142165988584104,very low
Azerbaijan,H3_Contact tracing,0.014232724269020251,very low
Azerbaijan,H5_Investment in vaccines,0.001986663584407135,very low
Azerbaijan,C4_Restrictions on gatherings,0.0,very low
Bahamas,H7_Vaccination policy,0.1354122117556082,very high
Bahamas,C3_Cancel public events,0.13078237894391445,very high
Bahamas,C5_Close public transport,0.10982706248400816,very high
Bahamas,C8_International travel controls,0.09367442640972407,very high
Bahamas,H2_Testing policy,0.07586922682992127,high
Bahamas,E2_Debt/contract relief,0.07333608135111723,high
Bahamas,E1_Income support,0.0717325313424396,high
Bahamas,C1_School closing,0.07023647987240436,high
Bahamas,C6_Stay at home requirements,0.055713619305368944,medium
Bahamas,C4_Restrictions on gatherings,0.05321870447447636,medium
Bahamas,H5_Investment in vaccines,0.03343262963369085,medium
Bahamas,H6_Facial Coverings,0.03192018674839425,medium
Bahamas,C2_Workplace closing,0.01934591060811876,low
Bahamas,C7_Restrictions on internal movement,0.0191573765428438,low
Bahamas,H4_Emergency investment in healthcare,0.010785513259390705,low
Bahamas,E3_Fiscal measures,0.006021104452484786,low
Bahamas,H3_Contact tracing,0.004584041544762922,very low
Bahamas,H1_Public information campaigns,0.0032849379569477345,very low
Bahamas,E4_International support,0.0016655764843834184,very low
Bahamas,H8_Protection of elderly people,0.0,very low
Bahrain,H7_Vaccination policy,0.10836422039712187,very high
Bahrain,C8_International travel controls,0.08863315742369321,very high
Bahrain,H8_Protection of elderly people,0.08456449494008011,very high
Bahrain,C4_Restrictions on gatherings,0.08309339165830999,very high
Bahrain,C1_School closing,0.08185512154712944,high
Bahrain,C5_Close public transport,0.070949161360951,high
Bahrain,C3_Cancel public events,0.06281139034445692,high
Bahrain,C7_Restrictions on internal movement,0.060584443035456494,high
Bahrain,H6_Facial Coverings,0.057585878652743706,medium
Bahrain,C6_Stay at home requirements,0.05632581259938312,medium
Bahrain,E3_Fiscal measures,0.050881827531163305,medium
Bahrain,E2_Debt/contract relief,0.04788035466065686,medium
Bahrain,E1_Income support,0.03641671890828424,low
Bahrain,H2_Testing policy,0.034070160859883625,low
Bahrain,C2_Workplace closing,0.024078796015266527,low
Bahrain,H4_Emergency investment in healthcare,0.02291418563383782,low
Bahrain,E4_International support,0.013059435875285645,very low
Bahrain,H1_Public information campaigns,0.008911043779348003,very low
Bahrain,H3_Contact tracing,0.0070204047769481725,very low
Bahrain,H5_Investment in vaccines,0.0,very low
Bangladesh,H7_Vaccination policy,0.11415504826675132,very high
Bangladesh,H6_Facial Coverings,0.09530132671568209,very high
Bangladesh,C2_Workplace closing,0.0940561052686536,very high
Bangladesh,E2_Debt/contract relief,0.08957333486510356,very high
Bangladesh,C5_Close public transport,0.08541791233919604,high
Bangladesh,C4_Restrictions on gatherings,0.08511018094021679,high
Bangladesh,C6_Stay at home requirements,0.059477489110477906,high
Bangladesh,H3_Contact tracing,0.04796309585004109,high
Bangladesh,C8_International travel controls,0.047638407661367704,medium
Bangladesh,E1_Income support,0.04040638904676403,medium
Bangladesh,E4_International support,0.039033986936608284,medium
Bangladesh,H4_Emergency investment in healthcare,0.03803261941269461,medium
Bangladesh,C3_Cancel public events,0.03757176750739468,low
Bangladesh,E3_Fiscal measures,0.0279666281031284,low
Bangladesh,H2_Testing policy,0.026774990854529484,low
Bangladesh,H5_Investment in vaccines,0.023296221030740197,low
Bangladesh,C1_School closing,0.021752770295243595,very low
Bangladesh,H1_Public information campaigns,0.017668019991171062,very low
Bangladesh,C7_Restrictions on internal movement,0.008803705804235793,very low
Bangladesh,H8_Protection of elderly people,0.0,very low
Barbados,H7_Vaccination policy,0.10239284386572425,very high
Barbados,H6_Facial Coverings,0.09649918095447536,very high
Barbados,C7_Restrictions on internal movement,0.09245340481647232,very high
Barbados,H2_Testing policy,0.08214373441949453,very high
Barbados,C4_Restrictions on gatherings,0.07359755127094429,high
Barbados,C1_School closing,0.07082351346141257,high
Barbados,C2_Workplace closing,0.06303496552598252,high
Barbados,E2_Debt/contract relief,0.05431681308189233,high
Barbados,C5_Close public transport,0.05400210710792943,medium
Barbados,C8_International travel controls,0.04810733443669426,medium
Barbados,H3_Contact tracing,0.04803700568698416,medium
Barbados,C6_Stay at home requirements,0.042192178831851924,medium
Barbados,H4_Emergency investment in healthcare,0.040519855345995524,low
Barbados,C3_Cancel public events,0.0331552885843861,low
Barbados,E1_Income support,0.032844333017853264,low
Barbados,E3_Fiscal measures,0.02921706258622672,low
Barbados,E4_International support,0.017792413384214358,very low
Barbados,H5_Investment in vaccines,0.01390131098238772,very low
Barbados,H1_Public information campaigns,0.00496910263907833,very low
Barbados,H8_Protection of elderly people,0.0,very low
Belarus,H1_Public information campaigns,0.09506074908321956,very high
Belarus,C8_International travel controls,0.08407581646368684,very high
Belarus,H8_Protection of elderly people,0.0719763588557231,very high
Belarus,H6_Facial Coverings,0.06849553054815,very high
Belarus,H7_Vaccination policy,0.0674840501612251,high
Belarus,H4_Emergency investment in healthcare,0.06634225721781387,high
Belarus,H3_Contact tracing,0.05777902325338405,high
Belarus,C1_School closing,0.055268862696889035,high
Belarus,C3_Cancel public events,0.054860995103844054,medium
Belarus,C6_Stay at home requirements,0.05289143033913214,medium
Belarus,C4_Restrictions on gatherings,0.04773390743011715,medium
Belarus,E1_Income support,0.0470576152178406,medium
Belarus,E2_Debt/contract relief,0.04554974794761266,low
Belarus,C2_Workplace closing,0.04459586482713322,low
Belarus,E4_International support,0.040605633495347036,low
Belarus,C7_Restrictions on internal movement,0.03760014258329827,low
Belarus,H2_Testing policy,0.034233015628249965,very low
Belarus,C5_Close public transport,0.01746076763593155,very low
Belarus,H5_Investment in vaccines,0.010928231511402105,very low
Belarus,E3_Fiscal measures,0.0,very low
Belgium,H7_Vaccination policy,0.08381324081015777,very high
Belgium,E2_Debt/contract relief,0.07627804454337508,very high
Belgium,H6_Facial Coverings,0.0759506669606437,very high
Belgium,C3_Cancel public events,0.07095620132130412,very high
Belgium,C8_International travel controls,0.06612582659598931,high
Belgium,C1_School closing,0.05923263507138607,high
Belgium,C6_Stay at home requirements,0.058821523287829254,high
Belgium,E1_Income support,0.05309009260646969,high
Belgium,C2_Workplace closing,0.0530721865588127,medium
Belgium,H2_Testing policy,0.052794588340453606,medium
Belgium,C4_Restrictions on gatherings,0.049292185801864945,medium
Belgium,H3_Contact tracing,0.048840259067946146,medium
Belgium,C5_Close public transport,0.0480456455800351,low
Belgium,C7_Restrictions on internal movement,0.04646925679432196,low
Belgium,E3_Fiscal measures,0.03628921677209903,low
Belgium,H5_Investment in vaccines,0.035678288487445774,low
Belgium,H8_Protection of elderly people,0.02890251251527513,very low
Belgium,H1_Public information campaigns,0.028525654277061045,very low
Belgium,H4_Emergency investment in healthcare,0.02782197460752967,very low
Belgium,E4_International support,0.0,very low
Belize,H2_Testing policy,0.08544590367887035,very high
Belize,C6_Stay at home requirements,0.08266994943127638,very high
Belize,C5_Close public transport,0.07621105257689256,very high
Belize,C8_International travel controls,0.07184174392978404,very high
Belize,H7_Vaccination policy,0.06498313703129358,high
Belize,C3_Cancel public events,0.0644058501451344,high
Belize,E2_Debt/contract relief,0.05778448278424797,high
Belize,C2_Workplace closing,0.053909845286796446,high
Belize,E4_International support,0.05374648063180468,medium
Belize,C4_Restrictions on gatherings,0.0536128131722012,medium
Belize,H8_Protection of elderly people,0.04984454371882749,medium
Belize,H3_Contact tracing,0.04787385199551587,medium
Belize,C7_Restrictions on internal movement,0.04655726221241494,low
Belize,C1_School closing,0.04587566254292508,low
