Indicator,Unit,Correlation
Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,0.5418377720520087
Individuals using the Internet,percent of population,0.4810292985136952
Interest rate on loans and discounts - private,percent per annum,0.47804054094549986
Interest rate on loans and discounts - public,percent per annum,0.47804054094549964
"Population ages 30-34, male (% of male population)",proportion,0.44156137745844526
"Population ages 25-29, male (% of male population)",proportion,0.4304273162199147
"Population ages 15-64, male (% of male population)",proportion,0.3927900486109241
"Incidence of tuberculosis (per 100,000 people)",Cases,-0.3862464433904131
Net migration,net total / data are 5 year estimates,0.3607083247211556
Fixed broadband subscriptions,per 100 people,0.3326522020551787
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",Percentage of males of the total population,0.33082561231653645
Population ages 15-64 (% of total population),proportion,0.3226050852410546
Age dependency ratio (% of working-age population),proportion,-0.3175057665969472
"Population ages 10-14, male (% of male population)",proportion,-0.31660958525766647
"International tourism, receipts",US Dollar,-0.3139166972341474
"Population ages 0-14, male (% of male population)",proportion,-0.2995173421609659
"Population ages 15-19, male (% of male population)",proportion,-0.29812207579084476
Population aged 15-64 years (% of total population),percent of total population,-0.29356986069202967
Age dependency ratio,percent of total population,-0.29276015112688375
"Population ages 05-09, male (% of male population)",proportion,-0.2916080498822947
"Age dependency ratio, young (% of working-age population)",proportion,-0.28703781632385705
Population aged 0-14 years (% of total population),percent of total population,-0.2827739191055552
"Population ages 00-04, male (% of male population)",proportion,-0.28239471516619813
Mobile cellular subscriptions,per 100 people,0.2750238600112868
Population aged 65+ years (% of total population),percent of total population,-0.27280053260749154
Population (% change),percent,-0.2707233560725361
Doctors per 1 000 inhabitants.,Ones,0.2618439867693103
"Immunization, measles (% of children ages 12-23 months)",percent,0.25519854533459085
"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,-0.25419657766396786
"Foreign direct investment, net",US Dollar,-0.24873567828325402
"Population ages 30-34, female (% of female population)",proportion,0.24660894344579753
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,-0.24418720130041113
Political stability and absence of violence/terrorism estimate,score,0.235891589599522
Interest rate on time deposits of 12 months,percent,-0.2358725938819003
"Labour force participation rate (Total) - Youth, adults: 15-64",percent,0.23052278389973604
Interest rate on time deposits of 6 months,percent,-0.22995320803243616
"Population ages 15-19, female (% of female population)",proportion,-0.22485729229784693
"Population ages 35-39, female (% of female population)",proportion,0.21415994991610443
Expenditure on education (% of GDP),percent,-0.21230448806585228
Days required for business start up,days,-0.20490580510882417
Control of corruption estimate,score,0.20187356203372897
"Lending interest rates, percent per annum",percent per annum,-0.20078219433636676
Interest rate on time deposits of 6 months,percent per annum,-0.20070401013260727
"Population ages 10-14, female (% of female population)",proportion,-0.1980355307506231
Mobile cellular subscriptions,number,-0.19325402703996428
"Population ages 0-14, female (% of female population)",proportion,-0.18243544917545815
Interest rate on loans and discounts,percent per annum,-0.17744718013515862
"Population ages 00-04, female (% of female population)",proportion,-0.17710458563257897
"Population ages 15-64, female",proportion,-0.17550975473425035
Hospital beds (per 10 000 population),Ones,0.17543119475574237
"Population ages 15-64, total",proportion,-0.17509344155453746
"Population ages 0-14, male",proportion,-0.17483199126090895
"Population ages 0-14, total",proportion,-0.17474096683914567
"Population ages 15-64, male",proportion,-0.17468729514180384
"Population ages 0-14, female",proportion,-0.17461124655770333
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,0.16947076353643972
"Population ages 05-09, female (% of female population)",proportion,-0.16790904008026208
Interest rate on savings deposits,percent,-0.1664960570692709
Government effectiveness estimate,score,0.1646958842137471
Interest rate on savings deposits,percent per annum,-0.1646234749876464
"Population ages 15-64, female (% of female population)",proportion,0.1637482362124468
Interest rate on time deposits of 12 months,percent per annum,-0.16170274342090973
"Labour force participation rate (Male) - Youth, adults: 15-64",percent,0.1568760105725677
Fixed broadband subscriptions,number,-0.15224411045173317
"Population ages 25-29, female (% of female population)",proportion,0.15160710897230878
General government net lending/borrowing,percent of GDP,-0.1503062363714338
Fixed telephone subscriptions,number,-0.14853713239231714
"Labour force participation rate (Female) - Youth, adults: 15-64",percent,0.13524372566122628
"Literacy rate, adult female (% of females ages 15 and above)",proportion,-0.13068210905111405
"Literacy rate, adult total (% of people ages 15 and above)",proportion,-0.13068210905111405
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",proportion,-0.130682109051114
"Literacy rate, adult male (% of males ages 15 and above)",proportion,-0.13068210905111394
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",proportion,-0.1306821090511139
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",proportion,-0.13068210905111385
"Population ages 20-24, female (% of female population)",proportion,-0.11185111851190571
"Immunization, DPT (% of children ages 12-23 months)",percent,0.1006880698037358
Balance on goods (% of GDP),percent,-0.09571509849106553
"Age dependency ratio, old (% of working-age population)",proportion,0.053644182313678825
Expenditure on health (% of GDP),percent,-0.038756502132068785
Expenditure on social protection (% of GDP),percent,-0.03862848158266245
"General government net lending/borrowing, percent of fiscal year GDP",percent,0.037508716800018584
Interest rate on demand deposits,percent per annum,
Interest rate on loans and discounts - long-term,percent per annum,
Interest rate on loans and discounts - short-term,percent per annum,
Interest rate on time deposits of over 12 months,percent,
Interest rate on time deposits of over 12 months,percent per annum,
Voice and accountability estimate,score,0.5395443878730489
Prevalence of anxiety disorders,percent,0.48366263844533675
Press freedom ranking,rank,-0.4440058006512869
Press freedom score,score,-0.4346044192969299
Rural population (% of total population),proportion,-0.39815014960317713
Urban population (% of total population),total,0.39815014960317713
"Trade, total as % of GDP",percent,-0.37181457902316395
"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,0.3695285058051487
Proportion of Unemployment in Non-agricultural Employment (total),percent,0.36270458311896075
Production index: Manufacturing,index,-0.35255390285382354
"Population ages 35-39, male (% of male population)",proportion,0.32838552895009854
"Population, female (% of total population)",proportion,-0.3133808997149153
"Population, male (% of total population)",proportion,0.3133808997149153
Production index: Mining,index,-0.3112221667018375
"Population ages 40-44, male (% of male population)",proportion,0.2998976281760022
Starting a Business (Score),Score,-0.28474690662264035
Starting a Business (Rank),rank,-0.25049523059997203
Population growth (annual %),proportion,0.237346014497806
"Population ages 40-44, female (% of female population)",proportion,0.23652517091001957
Stock market capitalization (US$ million),US Dollar,-0.23637439518602738
Regulatory quality estimate,score,0.2351406679105067
Refugee population by country or territory of asylum,proportion,-0.23472602871746032
Use of IMF credit (DOD),current US$,0.2246876750818379
Urban population (% of total),percent of total population,-0.21828509863606058
Population in urban agglomerations of more than 1 million (% of total population),proportion,0.21413629895314237
Prevalence of down syndrome,percent,0.20821583103799274
Production index: Agriculture,index,-0.20016502858967158
"Population, mid-year",person,-0.1980416694054928
"Yield on 90-day treasury bills, percent per annum",percent per annum,-0.18831630701914587
"Population ages 65 and above, male",proportion,-0.1835531961489991
"Population ages 65 and above, total",proportion,-0.18194426343690326
Rural population,proportion,-0.18137295696193556
"Population ages 65 and above, female",proportion,-0.18043237000042356
Total investment,percent of GDP,-0.17958463114576387
"Population, female",proportion,-0.17798371491306372
"Population, total",total,-0.1775567449915916
"Population, male",proportion,-0.1771373050927729
Refugee population by country or territory of origin,proportion,-0.16422892974616282
Rule of law estimate ,score,0.1619219410990438
Urban population,total,-0.15837940668840436
Prevalence of Respiratory infections and tuberculosis,percent,-0.15334075873141237
"Population ages 80 and above, female (% of female population)",proportion,0.1521810202809229
Population in urban agglomerations of more than 1 million,proportion,-0.1510717302307584
Prevalence of total cancers,percent,0.14294783618423282
Prevalence of Depressive disorders,percent,-0.13278204170813476
