Policy,Indicator,score,rank
C1_School closing,Individuals using the Internet,0.01654348104695951,1
C1_School closing,Corruption Perceptions Index,0.01627239564912558,2
C1_School closing,Prevalence of COVID-19,0.01601403780915229,3
C1_School closing,Secure Internet servers ,0.015705467114571946,4
C1_School closing,"Foreign direct investment, net",0.015551171248526745,5
C1_School closing,Serious assault (rate),0.015424394327175553,6
C1_School closing,Mortality due to COVID-19,0.014393647279783123,7
C1_School closing,Prevalence of anxiety disorders,0.014240398454280644,8
C1_School closing,Summary exposure value tobacco,0.01420030151931953,9
C1_School closing,"Prevalence of HIV, total (% of population ages 15-49)",0.01406810020546447,10
C1_School closing,Prevalence of total cancers,0.01406277431725739,11
C1_School closing,"Adjusted net savings, including particulate emission damage",0.013978078710573633,12
C1_School closing,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),0.013669037152877614,13
C1_School closing,Prevalence of Diabetes,0.013659298604922508,14
C1_School closing,"PM2.5 air pollution, mean annual exposure",0.01359154751765321,15
C1_School closing,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.013526858207488196,16
C1_School closing,Mobile cellular subscriptions,0.013372456186418025,17
C1_School closing,Voice and accountability estimate,0.013264340280187555,18
C1_School closing,Human Development Index,0.013155331812302207,19
C1_School closing,Prevalence of obesity,0.01311105696064507,20
C1_School closing,Proportion of seats held by women in national parliaments (%),0.012932112872811291,21
C1_School closing,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.012753935215422015,22
C1_School closing,Urban population (% of total population),0.012626464548503621,23
C1_School closing,"Central government debt, total",0.01260825758289222,24
C1_School closing,Prevalence of chronic kidney disease,0.012604350054333226,25
C1_School closing,"Immunization, DPT (% of children ages 12-23 months)",0.01238312153205616,26
C1_School closing,"Nurses and midwives (per 1,000 people)",0.012279451254965072,27
C1_School closing,"Trade, total as % of GDP",0.012184932656394634,28
C1_School closing,Rule of law estimate ,0.012089423611753185,29
C1_School closing,Net migration,0.012065498360264673,30
C1_School closing,Energy use ,0.011646366304180695,31
C1_School closing,Combustible renewables and waste,0.01156021131772778,32
C1_School closing,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.011526141171380797,33
C1_School closing,Renewable energy consumption ,0.01141955929686697,34
