,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-12-17,454113,130969,6037,88357,115544,35024,11132,58309,5401,1282830,155207,94628,4290,450114,497508,152,189260,1521123,49288,108969,42410,1464235,157229,9981265,923,578028,9694,41,985787,201250,96716,638864,440,251578,5935,148477,203774,7061923,361,9581,9752
2020-12-18,455239,130914,6061,88972,115780,35212,11127,58195,5403,1285105,155025,94600,4300,451220,499195,152,190281,1524958,49412,109211,42389,1469254,157837,10005709,923,578949,9714,41,985315,201670,97165,639695,440,252173,5931,148693,203656,7074412,360,9560,9664
2020-12-19,456337,130577,6079,89384,115947,35282,11023,58092,5402,1288887,154940,94590,4310,453008,500586,152,191768,1529139,49551,109483,42507,1474921,158518,10030127,922,580111,9722,41,983957,202422,97639,640134,440,252781,5924,148887,203565,7082894,359,9539,9569
2020-12-20,457474,130335,6089,89898,116135,35356,10880,57947,5398,1288271,154474,94534,4318,454355,502066,152,191957,1530489,49690,109732,42510,1480804,158953,10053879,921,581411,9726,41,983373,202599,97660,640912,440,253386,5912,149028,203350,7083201,359,9510,9483
2020-12-21,458608,130148,6098,90237,116230,35445,10907,57833,5399,1289202,154389,94519,4327,455382,503450,152,192685,1531780,49831,109999,42519,1487417,159255,10077879,920,582714,9736,41,983913,203104,98110,642729,440,253889,5902,149274,203169,7082556,359,9494,9445
2020-12-22,459716,129777,6095,89825,116349,35638,10870,57706,5399,1281693,154598,94440,4336,455897,505161,152,192079,1533714,49941,110125,42422,1491952,159583,10100838,919,583501,9755,41,982163,202169,98442,644429,440,254377,5885,149436,202930,7074069,358,9475,9350
2020-12-23,460728,129659,6112,90546,116703,35981,10935,57673,5396,1288621,154620,94404,4347,456965,506698,152,193533,1537074,50001,110354,42422,1499508,160114,10124911,919,584520,9780,41,981274,203357,98967,647426,440,255006,5879,149585,202872,7085378,358,9455,9434
2020-12-24,461816,129425,6128,90886,116968,36148,11002,57576,5390,1291246,154614,94313,4355,457830,508476,152,194915,1537918,50033,110577,42432,1503772,160636,10149187,916,585417,9819,41,978824,203409,99254,649872,440,255638,5872,149620,203079,7105058,357,9410,9458
2020-12-25,462958,129422,6135,91546,117145,36326,11067,57542,5390,1295688,154447,94251,4366,459187,509653,152,195997,1540556,50090,110782,42495,1509159,161315,10173511,916,586827,9828,41,978785,204259,99655,652670,440,256215,5869,149845,203303,7100369,357,9380,9450
2020-12-26,464089,129413,6146,91926,117241,36515,10928,57408,5386,1295552,153919,94164,4371,460171,510738,152,195219,1541954,50173,110988,42429,1512472,161808,10197562,915,587818,9823,41,977206,204736,99777,654095,440,256717,5863,149925,203276,7097455,356,9356,9372
