,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2020-12-17,49382,1524383,497579,9894,440,148650,7101465,152,362,578554,94740,1467428,156574,9741,157679,204237,42643,131586,6066,9621,115752,9982631,642679,190719,41,89703,1290201,927,251767,5963,451353,202899,97164,987283,454196,58372,35342,5419,4296,11369,109063
2020-12-18,49548,1532740,499217,10056,440,149046,7156879,152,362,580415,94846,1478237,157489,9808,158636,204843,42935,132339,6112,9644,116178,10009015,649230,193710,41,91488,1301886,929,252622,5978,454205,205865,98232,988085,455436,58385,36001,5436,4312,11853,109435
2020-12-19,49764,1539864,500777,10217,440,149439,7212342,152,363,582354,94949,1489800,158366,9890,159743,205543,43316,132983,6161,9670,116579,10035190,656270,196953,41,93417,1313883,931,253477,5992,457122,208905,99234,989005,456630,58401,36730,5452,4329,12334,109832
2020-12-20,50111,1546615,502372,10341,440,149825,7249048,152,364,584504,95060,1500554,159303,9964,160807,206139,43671,133435,6207,9703,116935,10061092,662681,199580,41,95067,1323866,934,254263,6005,459659,211656,100121,990301,457821,58425,37396,5473,4350,12807,110275
2020-12-21,50387,1553559,504193,10443,440,150224,7296503,152,365,586367,95169,1511004,160929,10043,161576,206620,44035,133841,6245,9749,117283,10086675,668773,201879,41,96703,1332514,937,255148,6027,462049,213948,101001,991979,459029,58445,38074,5490,4366,13286,110645
2020-12-22,50620,1562071,506105,10551,440,150679,7347121,152,366,588056,95271,1522402,162203,10119,162333,207161,44374,134712,6278,9772,117683,10112202,675461,204213,41,98113,1344165,940,256020,6045,464648,216583,101938,992907,460228,58461,38685,5511,4382,13775,110989
2020-12-23,50893,1571000,507890,10767,440,151216,7410308,152,366,589765,95386,1534317,163857,10206,163264,207990,44669,135610,6329,9790,118119,10138401,681986,207836,41,99579,1356389,943,256849,6072,467350,219679,102919,993908,461416,58487,39257,5543,4398,14281,111314
2020-12-24,51185,1579989,509577,10928,440,151787,7474758,152,367,591679,95498,1546496,164988,10261,164456,208890,44911,136581,6390,9832,118575,10164240,688761,211048,41,101294,1369908,947,257718,6100,470014,222826,103915,995445,462653,58515,39731,5572,4412,14808,111649
2020-12-25,51429,1588607,511183,11096,440,152287,7538297,152,368,593496,95612,1558294,166096,10330,165571,209646,45194,137362,6443,9856,118908,10190035,695949,214395,41,103343,1382889,949,258541,6131,472708,226156,105043,996703,463910,58533,40371,5596,4426,15309,111998
2020-12-26,51742,1597847,512731,11279,441,152816,7596314,152,369,595483,95731,1570475,166621,10392,166801,210529,45789,138149,6498,9892,119299,10216477,702887,217766,41,105365,1396250,951,259370,6145,475783,229870,106161,998141,465129,58570,40996,5620,4443,16001,112412
