,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,548,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,1,0,0,0,643,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,3,0,0,0,920,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,3,0,0,0,3,0,0,0,1406,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-01-26,0,0,0,4,0,0,0,4,0,0,0,2075,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-01-27,0,0,0,4,0,1,0,5,0,0,0,2877,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-01-28,0,0,0,4,0,1,0,7,0,0,0,5509,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-01-29,0,0,0,7,0,1,0,7,0,0,0,6087,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-01-30,1,0,0,8,0,1,0,10,0,0,0,8141,14,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-01-31,1,0,0,8,0,1,0,13,0,0,0,9802,19,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-01,1,0,0,8,0,1,0,16,0,0,0,11891,19,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-02,2,0,0,8,0,1,0,18,0,0,0,16630,19,0,0,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-03,2,0,0,8,0,1,0,18,0,0,0,19716,19,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-04,2,0,0,10,0,1,0,24,0,0,0,23707,25,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-05,2,0,0,12,0,1,0,28,0,0,0,27440,25,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-06,2,0,0,12,0,1,0,28,0,0,0,30587,25,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-07,3,0,0,12,0,1,0,30,0,0,0,34110,25,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-08,3,0,0,16,0,1,0,33,0,0,0,36814,32,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-09,3,0,0,16,0,1,0,40,0,0,0,39829,32,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-10,3,0,0,18,0,1,0,45,0,0,0,42354,32,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-11,3,0,0,18,0,1,0,47,0,0,0,44386,33,0,0,0,27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-02-12,3,0,0,18,0,1,0,50,0,0,0,44759,33,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
