,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2020-12-27,51002,1582320,509203,10541,622,155010,7486300,152,364,600658,95641,1596126,163258,11180,166963,209751,44775,135289,6301,9810,119373,10209653,713855,221752,41,105917,1383282,1151,258292,5991,473070,230996,104576,1008005,470535,58536,40936,6008,6329,16658,112287
2020-12-28,51150,1587462,510332,10653,645,155625,7508224,152,364,602811,95725,1607724,163924,11328,167882,210103,44885,135487,6318,9820,119600,10231250,720671,224902,41,107933,1388285,1180,258912,5991,474727,233307,105088,1010105,472065,58550,41364,6078,6539,17044,112601
2020-12-29,51318,1593043,511458,10763,657,156399,7538770,152,364,604727,95787,1619998,164493,11468,168660,210534,44928,135793,6334,9827,119842,10252657,727247,227892,41,110101,1394557,1210,259530,5991,476400,235581,105644,1011775,473414,58551,41797,6160,6642,17532,112905
2020-12-30,51504,1599050,512587,10835,673,157272,7576396,152,364,606804,95860,1632703,165019,11630,169521,211109,44976,136109,6345,9832,120111,10274233,734259,231550,41,111951,1403825,1232,260146,5991,478347,238153,106278,1013334,474832,58567,42293,6240,6738,18056,113181
2020-12-31,51702,1603909,513699,10913,691,158256,7608066,152,364,609143,95940,1645898,165583,11803,170515,211865,45148,136415,6356,9837,120388,10295601,740984,235404,41,113876,1411519,1249,260752,5992,480276,240948,106794,1015022,476389,58589,42877,6315,6788,18539,113476
2021-01-01,51871,1608607,514791,10913,710,158974,7630766,152,364,611570,96033,1658797,165863,11978,171468,212640,45229,136609,6366,9842,120688,10316764,747336,239372,41,115721,1419632,1269,261336,5992,482192,243660,107353,1017119,477963,58605,43382,6385,6878,18985,113777
2021-01-02,51989,1613745,515859,10920,728,159640,7648512,152,364,614088,96129,1669745,165865,12136,172522,213286,45321,136663,6370,9842,120960,10337908,754077,243129,41,117727,1425731,1293,261910,5992,483963,245939,107721,1019000,479479,58624,43904,6455,7066,19347,114107
2021-01-03,52123,1618264,516941,10997,747,160426,7666480,152,364,616261,96236,1680662,166278,12292,173540,213711,45443,136821,6383,9850,121260,10359407,760757,246399,41,119831,1433133,1326,262485,5992,485535,248138,108126,1021664,480981,58651,44384,6528,7266,19808,114434
2021-01-04,52271,1623611,518078,11099,764,161129,7679615,152,364,618359,96332,1691312,167072,12450,174432,214101,45527,137009,6396,9855,121420,10380735,767540,249476,41,121947,1437985,1353,263092,5993,487085,250056,108550,1023712,482434,58671,44888,6603,7443,20195,114753
2021-01-05,52461,1629181,519211,11221,774,161995,7711534,152,364,620551,96421,1702439,167711,12591,175257,214586,45596,137391,6412,9859,121651,10402321,772806,252471,41,123951,1443802,1386,263710,5993,488711,252327,109002,1025433,483812,58696,45225,6683,7519,20601,115054
