,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2021-03-11,55914,2177647,554016,12361,868,257474,11290404,193,1225,872990,101228,2289440,208321,59296,244654,298443,62416,181296,9025,12616,176112,11305828,1405653,443871,48,319534,2153734,3548,275083,6553,599954,346813,176322,1384720,606858,60080,87070,8995,26602,67619,143729
2021-03-12,55933,2186378,554865,12367,868,258467,11381421,194,1285,878305,101259,2292832,208775,60231,245148,300265,63057,182420,9133,12640,176690,11325598,1412593,445337,50,321471,2162295,3599,275183,6574,602522,347331,178806,1392118,610892,60094,87416,9000,26665,68783,144144
2021-03-13,55951,2193902,555670,12372,868,259324,11464022,195,1357,883669,101284,2296314,209309,61127,245623,301986,63717,183248,9220,12660,177367,11345535,1419050,446581,51,323220,2169501,3679,275284,6590,604872,347858,180984,1400020,614800,60108,87747,9005,26723,69913,144571
2021-03-14,55970,2200263,556540,12378,868,260101,11538826,197,1422,888828,101319,2299739,209668,62072,246081,303857,64622,183927,9317,12681,178187,11365500,1425285,448280,51,324775,2176334,3771,275388,6610,607696,348373,183005,1407918,618834,60124,88150,9010,26807,70923,144990
2021-03-15,55985,2207797,557412,12384,868,261038,11604249,198,1481,893835,101338,2303081,210226,63137,246452,304934,65380,184677,9414,12702,178866,11385159,1432224,449516,51,326367,2182581,3851,275475,6635,610231,348872,185435,1415050,622582,60134,88528,9014,26846,71886,145402
2021-03-16,56007,2217290,558399,12391,868,262078,11687271,200,1579,898152,101369,2306581,210808,64257,246809,306558,66299,185743,9529,12732,179581,11406571,1438838,450969,52,328011,2192305,3920,275579,6663,613517,349391,188221,1422142,626236,60151,88863,9019,26894,73016,145798
2021-03-17,56028,2227831,559400,12398,868,263216,11781574,202,1652,902420,101401,2310058,211455,65298,247281,309013,66907,187087,9656,12764,180505,11428661,1445741,452720,53,329652,2201150,3981,275700,6686,616643,349914,190943,1426104,629511,60169,89199,9024,26952,74149,146198
2021-03-18,56047,2236732,560342,12404,868,264263,11864168,204,1712,906712,101426,2313450,212036,66175,247763,310723,67478,188139,9777,12792,181201,11449327,1452281,454292,54,331232,2210953,4026,275801,6711,619716,350429,193287,1430588,632820,60182,89536,9029,27011,75221,146590
2021-03-19,56069,2246184,561272,12410,868,265382,11961927,206,1792,912391,101458,2316897,212750,67320,248326,312950,68216,189308,9890,12816,181892,11469817,1459954,455846,55,333193,2220080,4089,275911,6737,622925,350931,196368,1437043,637430,60196,89884,9034,27077,76480,146964
2021-03-20,56094,2254125,562280,12418,868,266379,12049429,208,1875,917724,101504,2320565,213483,68203,248835,315195,68928,190572,10018,12841,182582,11491145,1466053,457358,56,334725,2229241,4164,276054,6767,626256,351494,198905,1444937,641621,60220,90189,9040,27142,77762,147451
