,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Brazil,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8073434893461297e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5813219563754704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.730660832013443e-08,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4673756635940894e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5813219563754704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7093014888186894e-07,0.0,0.0,5.730660832013443e-08,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.391890529559196e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5813219563754704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12790446645607e-07,0.0,0.0,7.163326040016803e-08,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.768476178869815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5813219563754704e-08,9.26898654569527e-08,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.12790446645607e-07,0.0,0.0,8.595991248020165e-08,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4416492226994924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1626439127509414e-08,1.2358648727593694e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.83720595527476e-07,0.0,0.0,1.1461321664026885e-07,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,1.998855331906718e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1626439127509414e-08,1.2358648727593694e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.546507444093449e-07,4.670005720757008e-08,0.0,1.1461321664026885e-07,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,3.827491839928436e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5346268473141465e-08,1.2358648727593694e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.1965110421730826e-06,4.670005720757008e-08,0.0,2.005731291204705e-07,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,4.229069310155091e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5346268473141465e-08,2.162763527328896e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.1965110421730826e-06,4.670005720757008e-08,0.0,2.005731291204705e-07,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,5.6561283479501545e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.246353786042499e-10,0.0,8.697270760065088e-08,2.471729745518739e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,9.125662517395223e-09,1.7093014888186897e-06,4.670005720757008e-08,0.0,2.005731291204705e-07,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,5.981229347188891e-08,0.0,6.810142496819483e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.246353786042499e-10,0.0,1.1859914672816027e-07,2.471729745518739e-07,0.0,0.0,3.432084942180352e-08,0.0,0.0,0.0,0.0,0.0,9.125662517395223e-09,2.222091935464297e-06,4.670005720757008e-08,0.0,2.722063895206385e-07,0.0
