,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-12-17,8834,4531,158,430,3014,161,103,29,117,116128,1960,4757,60,9123,7182,3,2640,41427,2019,974,1222,39717,2374,144812,0,15950,137,0,36779,3459,2026,19363,0,1750,163,9029,13924,184153,0,234,208
2020-12-18,8837,4549,158,431,3015,161,104,29,117,116484,1954,4757,60,9162,7208,3,2661,41451,2023,976,1225,39866,2375,145180,0,15946,137,0,36805,3476,2035,19474,0,1757,163,9030,13934,184661,0,234,202
2020-12-19,8840,4562,158,433,3015,161,105,29,117,116825,1940,4757,60,9207,7233,3,2683,41454,2031,980,1228,40017,2376,145544,0,15936,137,0,36830,3491,2043,19576,0,1764,163,9031,13942,185059,0,234,199
2020-12-20,8841,4579,158,433,3016,161,105,29,117,117153,1923,4757,60,9251,7262,3,2692,41510,2038,984,1231,40160,2377,145897,0,15927,137,0,36852,3507,2050,19666,0,1771,163,9031,13947,185270,0,234,195
2020-12-21,8845,4596,157,435,3017,161,106,29,117,117374,1910,4757,60,9304,7291,3,2713,41563,2042,988,1234,40302,2378,146254,0,15930,137,0,36871,3525,2061,19766,0,1781,163,9031,13954,185468,0,234,195
2020-12-22,8859,4612,157,436,3016,161,107,29,117,117758,1910,4757,60,9361,7320,3,2736,41597,2048,992,1238,40435,2380,146614,0,15918,137,0,36892,3543,2072,19886,0,1792,163,9031,13963,185638,0,234,194
2020-12-23,8862,4630,157,436,3016,161,107,29,117,118196,1906,4757,60,9404,7348,3,2752,41651,2046,995,1242,40567,2381,146970,0,15912,137,0,36910,3558,2082,19972,0,1800,163,9030,13970,186054,0,234,188
2020-12-24,8872,4646,157,436,3018,161,108,29,117,118559,1904,4757,60,9447,7376,3,2772,41717,2055,998,1246,40706,2382,147332,0,15901,137,0,36931,3573,2092,20072,0,1808,163,9030,13980,186358,0,234,182
2020-12-25,8873,4660,157,436,3018,161,108,29,117,118874,1879,4757,60,9479,7399,3,2774,41725,2052,1001,1249,40844,2383,147690,0,15900,137,0,36944,3586,2098,20167,0,1814,163,9030,13987,186647,0,234,172
2020-12-26,8873,4673,157,436,3018,161,108,29,117,119165,1858,4757,60,9514,7427,3,2784,41716,2052,1004,1253,40968,2384,148044,0,15873,137,0,36946,3595,2105,20257,0,1818,163,9030,13995,186860,0,234,168
