,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2021-04-12,2522,57982,9801,318,1,12465,355169,3,30,24428,4843,66147,3018,462,3392,17324,2054,7024,256,252,4828,169562,42636,9387,0,1335,209696,22,3040,179,15592,6166,4890,55125,15128,30,599,182,97,1508,1795
2021-04-13,2523,58174,9858,318,1,12479,357710,3,30,24496,4843,66390,3024,464,3396,17361,2056,7037,257,252,4848,169965,42722,9407,0,1340,210311,22,3040,179,15665,6169,4946,55284,15409,30,601,182,97,1552,1809
2021-04-14,2524,58368,9920,318,1,12494,360653,3,30,24590,4843,66664,3027,467,3400,17390,2059,7055,258,252,4867,170586,42838,9431,0,1346,210855,23,3040,179,15740,6172,5005,55540,15634,30,603,182,97,1599,1822
2021-04-15,2525,58622,9988,318,1,12509,364007,3,30,24707,4843,66933,3032,470,3405,17417,2062,7072,259,252,4891,171039,42948,9453,0,1352,211476,24,3040,179,15827,6175,5067,55888,15866,30,605,182,97,1653,1840
2021-04-16,2527,58778,10046,318,1,12523,366693,3,30,24810,4843,67175,3036,473,3409,17450,2065,7086,259,252,4914,171409,43032,9472,0,1357,211972,24,3040,179,15898,6178,5115,56134,16131,30,606,182,97,1703,1853
2021-04-17,2528,58908,10112,318,1,12537,369013,3,30,24913,4843,67442,3037,476,3413,17489,2068,7099,259,252,4934,171930,43118,9491,0,1363,212479,24,3040,179,15966,6181,5170,56400,16381,30,607,182,97,1751,1873
2021-04-18,2528,59086,10178,318,1,12551,370962,3,30,25019,4843,67715,3038,479,3417,17532,2071,7112,260,252,4958,172121,43249,9508,0,1369,212852,24,3040,179,16056,6184,5236,56665,16571,30,609,183,97,1800,1894
2021-04-19,2529,59287,10239,318,1,12567,372945,3,30,25106,4843,68000,3039,482,3420,17576,2073,7120,261,252,4985,172445,43364,9527,0,1376,213240,24,3040,179,16147,6187,5302,56862,16760,30,610,183,97,1848,1908
2021-04-20,2530,59510,10299,318,1,12582,375793,3,30,25181,4843,68253,3046,485,3424,17611,2075,7133,262,252,5006,172965,43461,9551,0,1383,213779,24,3040,179,16241,6190,5360,57070,17035,30,612,183,97,1895,1925
2021-04-21,2531,59709,10359,318,1,12597,378595,3,30,25278,4843,68520,3048,487,3429,17649,2078,7151,262,252,5027,173394,43562,9575,0,1388,214369,25,3040,179,16323,6193,5417,57328,17317,30,614,183,97,1939,1938
