,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2021-03-26,2467,55179,8816,317,1,12145,305274,3,5,22577,4840,62641,2908,410,3300,16601,1992,6781,224,251,4540,161153,40169,8976,0,1249,200605,5,3020,177,14126,6079,3937,50946,13111,30,555,177,92,863,1539
2021-03-27,2467,55261,8834,317,1,12159,307088,3,5,22639,4840,62764,2908,412,3305,16621,1994,6796,225,251,4553,161363,40245,8994,0,1251,201008,5,3020,177,14159,6085,3966,51082,13128,30,555,177,92,872,1546
2021-03-28,2467,55324,8854,317,1,12173,308551,3,5,22701,4840,62886,2908,414,3308,16638,1996,6810,226,251,4568,161570,40320,9014,0,1252,201352,5,3020,177,14191,6090,3997,51214,13141,30,556,177,92,883,1554
2021-03-29,2467,55421,8875,317,1,12188,310266,3,5,22755,4840,63008,2909,416,3312,16655,1999,6823,227,251,4585,161775,40407,9040,0,1254,201683,5,3020,177,14231,6096,4031,51332,13152,30,557,177,92,893,1562
2021-03-30,2467,55515,8894,317,1,12202,311991,3,5,22791,4840,63130,2911,418,3316,16676,2002,6837,228,251,4600,161991,40496,9067,0,1256,202075,5,3020,177,14271,6102,4063,51471,13164,30,557,177,92,903,1569
2021-03-31,2467,55614,8912,317,1,12216,313921,3,5,22830,4840,63252,2911,420,3320,16697,2004,6852,229,251,4614,162207,40593,9091,0,1257,202493,5,3020,177,14311,6107,4097,51597,13179,30,557,177,92,913,1577
2021-04-01,2467,55713,8932,317,1,12231,315919,3,5,22907,4840,63376,2911,422,3324,16723,2005,6867,230,251,4629,162426,40690,9114,0,1259,202985,5,3020,177,14356,6113,4125,51759,13201,30,557,177,92,923,1585
2021-04-02,2467,55796,8951,317,1,12245,317676,3,5,22958,4840,63498,2911,424,3328,16747,2007,6882,231,251,4643,162633,40785,9134,0,1261,203412,5,3020,177,14393,6119,4153,51893,13218,30,557,177,92,931,1592
2021-04-03,2467,55871,8969,317,1,12259,319365,3,5,23009,4840,63620,2911,426,3333,16769,2009,6897,232,251,4655,162841,40868,9155,0,1263,203782,5,3020,177,14424,6124,4179,51983,13229,30,557,177,92,939,1599
2021-04-04,2467,55947,8988,317,1,12273,320709,3,5,23066,4840,63742,2911,428,3336,16784,2012,6910,233,251,4669,163057,40941,9168,0,1265,204110,5,3020,177,14457,6129,4209,52085,13245,30,557,177,92,949,1607
