,Philippines,Guatemala,Guyana,Malaysia,Honduras,Sri Lanka,Uruguay,Singapore,Suriname,Mexico,Costa Rica,China,Thailand,Pakistan,Bangladesh,Brunei,Japan,Argentina,Afghanistan,Venezuela,El Salvador,Colombia,Dominican Republic,India,Mongolia,Chile,Cuba,Laos,Peru,Panama,Paraguay,Indonesia,Bhutan,Nepal,Nicaragua,Bolivia,Ecuador,Brazil,Cambodia,Haiti,Belize
2020-12-17,414706,119583,5186,73471,52836,26064,7277,58239,5241,952172,123192,88415,3990,398224,431513,148,156938,1351485,38527,103439,38411,1340778,122202,9519502,384,550690,8717,35,924577,167592,69251,526252,409,238431,4225,127148,176574,6235160,324,8266,4681
2020-12-18,413078,119908,5183,74309,52777,26561,7445,58240,5243,959637,123253,88504,3987,399474,433976,148,158749,1355364,38579,103398,38199,1345747,122403,9550441,384,551663,8784,35,925093,168739,69902,530773,409,238579,4225,127346,175301,6247553,322,8247,4754
2020-12-19,410221,120267,5173,75019,52683,26927,7631,58239,5244,966038,124044,88592,3987,401332,436256,148,160446,1359417,38626,103433,38031,1350908,122488,9580214,384,552612,8848,35,925723,169719,70469,535224,409,238844,4225,127538,174355,6262731,319,8246,4818
2020-12-20,406357,120596,5183,75922,52453,27248,7755,58238,5245,972238,124677,88676,3987,402851,438249,148,161988,1362861,38665,103491,37843,1356157,122329,9611567,384,553261,8890,35,926238,170765,71010,539057,409,238987,4225,127722,172615,6266055,315,8235,4873
2020-12-21,401448,120899,5186,76766,52313,27694,7826,58242,5248,979718,125943,88763,3981,403920,440626,148,163625,1366570,38701,103521,37722,1361179,122431,9641971,384,553986,8944,35,927432,171879,71635,543134,409,239074,4225,127923,170114,6278752,309,8232,4923
2020-12-22,398639,121242,5179,77429,52320,28072,7899,58248,5251,985811,126461,88848,3978,406027,442674,148,165154,1370301,38760,103503,37656,1365891,122463,9672459,384,554768,8996,35,928419,172630,72194,547296,409,238990,4225,128132,169089,6265717,304,8223,4982
2020-12-23,395305,121511,5165,78130,52285,28424,7881,58244,5253,992048,126427,88933,3976,408403,444470,148,166717,1373957,38818,103546,37629,1371435,122444,9703087,384,555637,9041,35,928983,173403,72709,551547,409,239140,4225,128332,167697,6273404,298,8211,5017
2020-12-24,392352,121795,5161,78831,51808,28879,7921,58242,5255,998383,126836,89023,3966,408595,446437,148,168221,1377673,38851,103433,37350,1375797,122463,9733089,384,556602,9094,34,929483,174206,73279,555458,409,238990,4225,128530,165809,6286035,290,8197,5075
2020-12-25,387759,122115,5146,79373,51662,29176,7961,58239,5256,1003636,126440,89118,3955,408538,448373,148,169869,1381365,38898,103328,37196,1380243,122455,9761975,384,557344,9143,33,929626,175235,73802,559365,409,239040,4225,128723,164301,6278177,279,8189,5122
2020-12-26,383528,122395,5116,80169,51514,29548,8062,58228,5257,1009843,125652,89200,3947,408635,450264,148,171477,1384917,38943,103343,37070,1384025,122395,9791823,384,558215,9199,33,930160,175962,74361,563471,409,239153,4224,128894,162763,6283573,275,8183,5181
