,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2020-12-27,40921,1409278,452276,9377,446,130241,6700221,149,357,569157,89535,1456652,129060,9684,128476,181894,40076,124323,5712,8416,55957,9786057,582870,182510,37,84435,1040206,734,249982,4225,423805,185275,78277,943189,431928,58369,32703,5477,4176,11291,106366
2020-12-28,41049,1415030,454277,10123,446,130523,6745528,149,357,571064,89631,1468704,129459,9770,129012,182368,40164,124766,5771,8420,56234,9811049,588394,185065,37,85336,1048732,759,250862,4225,425545,186914,79159,944752,432103,58369,33265,5500,4193,11726,106601
2020-12-29,41165,1420808,455931,10311,447,130809,6790752,149,358,573022,89728,1480495,129742,9857,129542,182368,40230,125238,5832,8422,56428,9835851,594022,187280,37,86202,1057198,784,251651,4225,427452,188562,80033,946633,432522,58369,33840,5525,4207,12107,106844
2020-12-30,41254,1427138,458427,10311,447,131100,6822705,149,359,574774,89830,1491742,130025,9956,130027,182389,40302,125701,5888,8422,56629,9860987,599266,189696,37,87144,1065631,821,252471,4225,429195,190024,80872,948364,432814,58381,34431,5553,4220,12526,107092
2020-12-31,41522,1431062,460118,10368,449,131397,6844650,149,361,576564,89939,1502448,130339,10036,130522,182424,40404,126143,5942,8426,56868,9886040,604634,191995,37,87987,1073486,865,253300,4225,430857,191552,81609,950066,432994,58397,34910,5574,4239,12883,107356
2021-01-01,41617,1436431,461829,10398,451,131705,6880639,149,362,578275,90030,1514865,130654,10120,130974,182424,40498,126600,6004,8426,57124,9910510,610697,194550,37,88911,1081643,893,254140,4225,432767,193153,82421,951617,433081,58397,35496,5597,4257,13304,107622
2021-01-02,41745,1443475,462888,10464,453,131995,6927785,149,363,580169,90132,1527508,130937,10203,131586,182606,40533,127073,6063,8429,57293,9934921,616454,196921,37,89809,1090229,916,254973,4225,434342,194804,83402,953316,433437,58409,36138,5623,4272,13714,107882
2021-01-03,41833,1449635,464536,10644,453,132280,6990302,149,363,582119,90254,1538887,131083,10291,132160,182941,40577,127510,6130,8429,57511,9959721,621924,199303,37,90683,1098416,943,255776,4225,436094,196504,84352,954839,434655,58436,36770,5645,4286,14132,108150
2021-01-04,41835,1455577,466527,11370,453,132550,7026566,149,363,583949,90346,1549707,131430,10373,132712,183389,40640,127930,6178,8434,57748,9984320,627069,201207,37,91521,1105941,963,256610,4225,437555,197927,85137,956419,434880,58444,37261,5666,4302,14462,108387
2021-01-05,41952,1461144,468540,11610,453,132861,7062434,149,363,585798,90457,1562739,131911,10460,133260,183741,40716,128420,6239,8440,58007,10009920,633014,204052,37,92447,1114606,986,257384,4225,439624,199632,86048,958577,435087,58465,37783,5694,4317,14918,108627
