,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2021-03-11,49531,1967674,507710,11972,866,201925,9993461,183,645,823158,95947,2191334,189363,54459,200611,257477,59570,166955,8260,10008,68520,10955392,1225055,422653,42,301298,1691602,3007,271129,4225,571429,334337,145527,1298569,548775,59923,83652,8507,26039,58065,136032
2021-03-12,49564,1973690,508800,11983,866,202956,10069628,183,708,828104,95976,2195144,191281,55595,201625,259317,60403,167493,8292,10064,68637,10972885,1232725,424602,42,304248,1697033,3174,271212,4225,573618,335018,147050,1307924,551857,59936,84106,8516,26149,59079,136614
2021-03-13,49597,1979380,509905,11991,866,203919,10141188,183,751,833118,96000,2199005,192224,56607,202562,261384,60934,168014,8322,10100,68777,10990022,1241257,426417,42,306841,1702279,3334,271288,4225,575960,335678,148374,1319449,554813,59947,84521,8525,26245,60060,137039
2021-03-14,49634,1985315,511045,11999,866,204886,10211569,183,804,838166,96030,2202912,192940,57663,203502,266485,61509,168515,8351,10135,68875,11007648,1248987,427415,42,309294,1707151,3471,271376,4225,578213,336303,149877,1328634,562721,59960,84908,8534,26329,60862,137501
2021-03-15,49680,1991300,512222,12008,866,205896,10282101,183,862,842974,96055,2206709,194388,58699,204348,268668,62612,169047,8397,10174,68981,11025607,1257011,428733,42,312002,1712298,3659,271460,4225,581234,336935,151266,1336371,565688,59970,85288,8543,26448,61733,137995
2021-03-16,49725,1996880,513406,12019,866,206954,10352248,183,946,848082,96078,2210404,195427,59806,205133,269924,63705,169683,8429,10245,69084,11044134,1264920,430771,42,314735,1717703,3784,271537,4225,584011,337594,152689,1345335,568006,59979,85728,8553,26579,62649,138424
2021-03-17,49770,2002845,514634,12028,866,208051,10416980,183,1036,853235,96105,2214266,196444,60829,206047,271149,64837,170233,8458,10319,69202,11061984,1272588,432612,42,317535,1722882,3896,271616,4225,586301,338252,154193,1354522,570816,59990,86131,8563,26714,63631,138898
2021-03-18,49812,2009375,515841,12039,866,209227,10495980,183,1137,858861,96130,2218009,197162,61942,207084,273200,65733,170818,8498,10363,69365,11080302,1280739,433991,42,320512,1728497,4076,271697,4225,589271,338912,155866,1364188,573723,60002,86590,8573,26821,64542,139366
2021-03-19,49848,2015404,516991,12048,866,210277,10573056,183,1203,864494,96152,2221766,199323,62967,208124,274731,66548,171410,8533,10427,69485,11097821,1289039,436279,42,323726,1734141,4226,271761,4225,591457,339581,157354,1371546,575612,60009,87049,8582,26905,65658,139946
2021-03-20,49887,2021366,518158,12057,866,211323,10636946,183,1303,869930,96178,2225621,200588,63925,209120,276867,67496,171940,8567,10469,69618,11115518,1296294,438012,42,326257,1739291,4377,271838,4225,593905,340214,158818,1383538,579450,60020,87451,8592,27014,66498,140412
