,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2020-01-22,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,3,0,0,6,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,4,0,0,8,0,0
2020-01-27,0,0,0,0,0,0,0,0,1,0,2877,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,5,1,0,8,0,0
2020-01-28,0,0,0,0,0,0,0,0,1,0,5509,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,1,0,0,0,0,0,0,7,1,0,14,0,0
2020-01-29,0,0,0,0,0,0,0,0,1,0,6087,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,1,0,0,0,0,0,0,7,1,0,14,0,0
2020-01-30,0,0,0,0,0,0,0,0,1,0,8141,0,0,0,0,0,0,0,0,0,0,1,0,11,0,8,0,0,1,0,0,0,0,0,1,10,1,0,14,0,0
2020-01-31,0,0,0,0,0,0,0,0,1,0,9802,0,0,0,0,0,0,0,0,0,0,1,0,15,0,8,0,0,1,0,0,0,0,0,1,13,1,0,19,0,0
2020-02-01,0,0,0,0,0,0,0,0,1,0,11891,0,0,0,0,0,0,0,0,0,0,1,0,20,0,8,0,0,1,0,0,0,0,0,1,16,1,0,19,0,0
2020-02-02,0,0,0,0,0,0,0,0,1,0,16630,0,0,0,0,0,0,0,0,0,0,2,0,20,0,8,0,0,1,0,0,0,0,0,2,18,1,0,19,0,0
2020-02-03,0,0,0,0,0,0,0,0,1,0,19716,0,0,0,0,0,0,0,0,0,0,3,0,20,0,8,0,0,1,0,0,0,0,0,2,18,1,0,19,0,0
2020-02-04,0,0,0,0,0,0,0,0,1,0,23707,0,0,0,0,0,0,0,0,0,0,3,0,22,0,10,0,0,1,0,0,0,0,0,2,24,1,0,25,0,0
2020-02-05,0,0,0,0,0,0,0,0,1,0,27440,0,0,0,0,0,0,0,0,0,0,3,0,23,0,12,0,0,1,0,0,0,0,0,2,28,1,0,25,0,0
2020-02-06,0,0,0,0,0,0,0,0,1,0,30587,0,0,0,0,0,0,0,0,0,0,3,0,23,0,12,0,0,1,0,0,0,0,0,2,28,1,0,25,0,0
2020-02-07,0,0,0,0,0,0,0,0,1,0,34110,0,0,0,0,0,0,0,0,0,0,3,0,23,0,12,0,0,1,0,0,0,0,0,3,30,1,0,25,0,0
2020-02-08,0,0,0,0,0,0,0,0,1,0,36814,0,0,0,0,0,0,0,0,0,0,3,0,24,0,16,0,0,1,0,0,0,0,0,3,33,1,0,32,0,0
2020-02-09,0,0,0,0,0,0,0,0,1,0,39829,0,0,0,0,0,0,0,0,0,0,3,0,24,0,16,0,0,1,0,0,0,0,0,3,40,1,0,32,0,0
2020-02-10,0,0,0,0,0,0,0,0,1,0,42354,0,0,0,0,0,0,0,0,0,0,3,0,26,0,18,0,0,1,0,0,0,0,0,3,45,1,0,32,0,0
2020-02-11,0,0,0,0,0,0,0,0,1,0,44386,0,0,0,0,0,0,0,0,0,0,3,0,27,0,18,0,0,1,0,0,0,0,0,3,47,1,0,33,0,0
2020-02-12,0,0,0,0,0,0,0,0,1,0,44759,0,0,0,0,0,0,0,0,0,0,3,0,28,0,18,0,0,1,0,0,0,0,0,3,50,1,0,33,0,0
2020-02-13,0,0,0,0,0,0,0,0,1,0,59895,0,0,0,0,0,0,0,0,0,0,3,0,33,0,19,0,0,1,0,0,0,0,0,3,58,1,0,33,0,0
2020-02-14,0,0,0,0,0,0,0,0,1,0,66358,0,0,0,0,0,0,0,0,0,0,3,0,43,0,19,0,0,1,0,0,0,0,0,3,67,1,0,33,0,0
2020-02-15,0,0,0,0,0,0,0,0,1,0,68413,0,0,0,0,0,0,0,0,0,0,3,0,54,0,22,0,0,1,0,0,0,0,0,3,72,1,0,34,0,0
2020-02-16,0,0,0,0,0,0,0,0,1,0,70513,0,0,0,0,0,0,0,0,0,0,3,0,60,0,22,0,0,1,0,0,0,0,0,3,75,1,0,34,0,0
2020-02-17,0,0,0,0,0,0,0,0,1,0,72434,0,0,0,0,0,0,0,0,0,0,3,0,67,0,22,0,0,1,0,0,0,0,0,3,77,1,0,35,0,0
2020-02-18,0,0,0,0,0,0,0,0,1,0,74211,0,0,0,0,0,0,0,0,0,0,3,0,79,0,22,0,0,1,0,0,0,0,0,3,81,1,0,35,0,0
2020-02-19,0,0,0,0,0,0,0,0,1,0,74619,0,0,0,0,0,0,0,0,0,0,3,0,85,0,22,0,0,1,0,0,0,0,0,3,84,1,0,35,0,0
