,Afghanistan,Argentina,Bangladesh,Belize,Bhutan,Bolivia,Brazil,Brunei,Cambodia,Chile,China,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Japan,Laos,Malaysia,Mexico,Mongolia,Nepal,Nicaragua,Pakistan,Panama,Paraguay,Peru,Philippines,Singapore,Sri Lanka,Suriname,Thailand,Uruguay,Venezuela
2020-01-22,,,,,,,,,,,0.051094890510948905,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.5,,
2020-01-23,,,,,,,,,,,0.04665629860031104,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.5,,
2020-01-24,,,,,,,,,,,0.0391304347826087,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.6,,
2020-01-25,,,,,,,,,,,0.027738264580369845,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,0.5,,
2020-01-26,,,,,,,,,,,0.023614457831325302,,,,,,,,,,,,,0.25,,0.0,,,0.0,,,,,,,0.0,,,0.75,,
2020-01-27,,,,,,,,,0.0,,0.02015988877302746,,,,,,,,,,,,,0.25,,0.0,,,0.0,,,,,,,0.0,0.0,,0.75,,
2020-01-28,,,,,,,,,0.0,,0.01833363586857869,,,,,,,,,,,,,0.14285714285714285,,0.0,,,0.0,,,,,,,0.0,0.0,,0.42857142857142855,,
2020-01-29,,,,,,,,,0.0,,0.019714144898965006,,,,,,,,,,,,,0.14285714285714285,,0.0,,,0.0,,,,,,,0.0,0.0,,0.42857142857142855,,
2020-01-30,,,,,,,,,0.0,,0.01658272939442329,,,,,,,,,,,0.0,,0.09090909090909091,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.5,,
2020-01-31,,,,,,,,,0.0,,0.021832279126708834,,,,,,,,,,,0.0,,0.06666666666666667,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.42105263157894735,,
2020-02-01,,,,,,,,,0.0,,0.02312673450508788,,,,,,,,,,,0.0,,0.05,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.42105263157894735,,
2020-02-02,,,,,,,,,0.0,,0.027841250751653637,,,,,,,,,,,0.0,,0.05,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.47368421052631576,,
2020-02-03,,,,,,,,,0.0,,0.031142219517143438,,,,,,,,,,,0.0,,0.05,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.47368421052631576,,
2020-02-04,,,,,,,,,0.0,,0.035559117560214286,,,,,,,,,,,0.0,,0.045454545454545456,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.4,,
2020-02-05,,,,,,,,,0.0,,0.04063411078717201,,,,,,,,,,,0.0,,0.043478260869565216,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.4,,
2020-02-06,,,,,,,,,0.0,,0.04828848857357701,,,,,,,,,,,0.0,,0.043478260869565216,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.4,,
2020-02-07,,,,,,,,,0.0,,0.05860451480504251,,,,,,,,,,,0.0,,0.043478260869565216,,0.08333333333333333,,,0.0,,,,,,0.0,0.0,0.0,,0.4,,
2020-02-08,,,,,,,,,0.0,,0.07051665127397186,,,,,,,,,,,0.0,,0.041666666666666664,,0.0625,,,0.0,,,,,,0.0,0.06060606060606061,1.0,,0.3125,,
2020-02-09,,,,,,,,,0.0,,0.08082050767029049,,,,,,,,,,,0.0,,0.041666666666666664,,0.0625,,,0.0,,,,,,0.0,0.05,1.0,,0.34375,,
2020-02-10,,,,,,,,,0.0,,0.09250602068281626,,,,,,,,,,,0.0,,0.15384615384615385,,0.05555555555555555,,,0.0,,,,,,0.0,0.044444444444444446,1.0,,0.34375,,
2020-02-11,,,,,,,,,0.0,,0.1044473482629658,,,,,,,,,,,0.0,,0.3333333333333333,,0.16666666666666666,,,0.0,,,,,,0.0,0.19148936170212766,1.0,,0.3333333333333333,,
2020-02-12,,,,,,,,,1.0,,0.11354141066601131,,,,,,,,,,,0.0,,0.32142857142857145,,0.16666666666666666,,,1.0,,,,,,0.3333333333333333,0.3,1.0,,0.3333333333333333,,
2020-02-13,,,,,,,,,1.0,,0.10379831371566908,,,,,,,,,,,0.0,,0.2727272727272727,,0.15789473684210525,,,1.0,,,,,,0.3333333333333333,0.25862068965517243,1.0,,0.3333333333333333,,
2020-02-14,,,,,,,,,1.0,,0.12021157961361102,,,,,,,,,,,0.0,,0.20930232558139536,,0.15789473684210525,,,1.0,,,,,,0.3333333333333333,0.2537313432835821,1.0,,0.3333333333333333,,
2020-02-15,,,,,,,,,1.0,,0.13590984169675355,,,,,,,,,,,0.0,,0.2222222222222222,,0.3181818181818182,,,1.0,,,,,,0.3333333333333333,0.25,1.0,,0.38235294117647056,,
2020-02-16,,,,,,,,,1.0,,0.15252506629983123,,,,,,,,,,,1.0,,0.2,,0.3181818181818182,,,1.0,,,,,,0.3333333333333333,0.24,1.0,,0.4411764705882353,,
2020-02-17,,,,,,,,,1.0,,0.17204627661043156,,,,,,,,,,,1.0,,0.1791044776119403,,0.3181818181818182,,,1.0,,,,,,0.3333333333333333,0.3116883116883117,1.0,,0.42857142857142855,,
2020-02-18,,,,,,,,,1.0,,0.19142714691892038,,,,,,,,,,,1.0,,0.16455696202531644,,0.5909090909090909,,,1.0,,,,,,0.3333333333333333,0.35802469135802467,1.0,,0.42857142857142855,,
2020-02-19,,,,,,,,,1.0,,0.21391334646671759,,,,,,,,,,,1.0,,0.21176470588235294,,0.6818181818181818,,,1.0,,,,,,0.3333333333333333,0.40476190476190477,1.0,,0.42857142857142855,,
2020-02-20,,,,,,,,,1.0,,0.23994032792999187,,,,,,,,,,,1.0,,0.18947368421052632,,0.6818181818181818,,,1.0,,,,,,0.3333333333333333,0.40476190476190477,1.0,,0.4857142857142857,,
2020-02-21,,,,,,,,,1.0,,0.24757114493712773,,,,,,,,,,,1.0,,0.19642857142857142,,0.6818181818181818,,,1.0,,,,,,0.3333333333333333,0.43529411764705883,1.0,,0.5428571428571428,,
2020-02-22,,,,,,,,,1.0,,0.2947883793716965,,,,,,,,,,,1.0,,0.16058394160583941,,0.6818181818181818,,,1.0,,,,,,0.3333333333333333,0.43529411764705883,1.0,,0.5714285714285714,,
2020-02-23,,,,,,,,,1.0,0.0,0.3010438575991275,,,,,,,,,,,1.0,,0.1476510067114094,,0.6818181818181818,,,1.0,,,,,,0.3333333333333333,0.5730337078651685,1.0,,0.6,,
2020-02-24,0.0,,,,,,,,1.0,0.0,0.3238565010810321,,,,,,,,,,,1.0,,0.1375,,0.8181818181818182,,,1.0,,,,,,0.3333333333333333,0.5730337078651685,1.0,,0.6,,
2020-02-25,0.0,,,,,,,,1.0,0.0,0.3559431026056537,,,,,,,,,,,1.0,,0.12716763005780346,,0.8181818181818182,,,1.0,,0.0,,,,0.3333333333333333,0.5824175824175825,1.0,,0.5945945945945946,,
2020-02-26,0.0,,,,,,0.0,,1.0,0.0,0.38487321853491285,,,,,,,,,,,1.0,,0.11458333333333333,,0.8181818181818182,,,1.0,,0.0,,,,0.3333333333333333,0.6666666666666666,1.0,,0.6,,
2020-02-27,0.0,,,,,,0.0,,1.0,0.0,0.41895674300254454,,,,,,,,,,,1.0,,0.10091743119266056,,0.782608695652174,,,1.0,,0.0,,,,0.3333333333333333,0.6666666666666666,1.0,,0.6,,
2020-02-28,0.0,,,,,,0.0,,1.0,0.0,0.4602802554226637,,,,,,,,,,,1.0,,0.09322033898305085,,0.782608695652174,0.0,,1.0,,0.0,,,,0.3333333333333333,0.6666666666666666,1.0,,0.6829268292682927,,
2020-02-29,0.0,,,,,,0.0,,1.0,0.0,0.49548868390543876,,,,,,,,,,,1.0,,0.1306122448979592,,0.72,0.0,,1.0,,0.0,,,,0.3333333333333333,0.7058823529411765,1.0,,0.6666666666666666,,
2020-03-01,0.0,,,,,,0.0,,1.0,0.0,0.5274733523494971,,,,0.0,0.0,,,,,,1.0,,0.12355212355212356,,0.6206896551724138,0.0,,1.0,,0.0,,,,0.3333333333333333,0.6792452830188679,1.0,,0.7142857142857143,,
2020-03-02,0.0,,,,,,0.0,,1.0,0.0,0.5597234701008286,,,,0.0,0.0,,,,,,0.6,0.0,0.11510791366906475,,0.6206896551724138,0.0,,1.0,,0.0,,,,0.3333333333333333,0.7222222222222222,1.0,,0.7209302325581395,,
2020-03-03,0.0,0.0,,,,,0.0,,1.0,0.0,0.5911962223246657,,,,0.0,0.0,,,,,,0.6,0.0,0.14429530201342283,,0.6111111111111112,0.2,,1.0,,0.0,,,,0.3333333333333333,0.7090909090909091,1.0,,0.7209302325581395,,
2020-03-04,0.0,0.0,,,,,0.0,,1.0,0.0,0.6220112954992163,,,,0.0,0.0,,,,,,0.10714285714285714,0.0,0.12912912912912913,,0.44,0.2,,1.0,,0.0,,,,0.3333333333333333,0.7090909090909091,1.0,,0.7209302325581395,,
2020-03-05,0.0,0.0,,,,,0.0,,1.0,0.0,0.6492916299340675,,,,0.0,0.0,,,,,,0.1,0.0,0.1178082191780822,,0.44,0.2,,1.0,,0.0,,,,0.3333333333333333,0.6666666666666666,1.0,,0.6595744680851063,,
2020-03-06,0.0,0.0,,,0.0,,0.0,,1.0,0.0,0.6685338951542942,0.0,0.0,,0.0,0.0,,,,,,0.0967741935483871,0.0,0.10952380952380952,,0.26506024096385544,0.16666666666666666,,1.0,,0.0,,,0.0,0.2,0.6,1.0,,0.6458333333333334,,
2020-03-07,0.0,0.0,,,0.0,,0.0,,1.0,0.0,0.6876191655317568,0.0,0.0,,0.0,0.0,,,,,,0.08823529411764706,0.0,0.1630901287553648,,0.24731182795698925,0.16666666666666666,,1.0,,0.16666666666666666,,,0.0,0.16666666666666666,0.5652173913043478,1.0,,0.62,,
2020-03-08,0.0,0.0,0.0,,0.0,,0.0,,0.5,0.0,0.7100454078665727,0.0,0.0,,0.0,0.0,,,,,,0.07692307692307693,0.0,0.1523046092184369,,0.24242424242424243,0.14285714285714285,,1.0,,0.16666666666666666,,0.0,0.0,0.1,0.52,1.0,,0.66,,
2020-03-09,0.0,0.0,0.0,,0.0,,0.0,0.0,0.5,0.0,0.7272322532772694,0.0,0.0,,0.0,0.0,,,,,,0.06976744186046512,0.0,0.1442125237191651,,0.20512820512820512,0.14285714285714285,,1.0,,0.0625,,0.0,0.0,0.05,0.52,1.0,,0.66,,
