Indicator,Unit,influence
Political stability and absence of violence/terrorism estimate,score,-0.3763175476806668
Rule of law estimate ,score,-0.2729879220405376
Government effectiveness estimate,score,-0.2682478412980113
Control of corruption estimate,score,-0.2619458169408285
Press freedom score,score,0.23954776747663264
"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,0.2231202957173504
Press freedom ranking,rank,0.2038066962276949
Regulatory quality estimate,score,-0.20094673242158476
"Immunization, measles (% of children ages 12-23 months)",percent,-0.17399660126644517
Voice and accountability estimate,score,-0.17306186969586096
"Trade, total as % of GDP",percent,-0.16310688920714936
"Labour force participation rate (Female) - Youth, adults: 15-64",percent,-0.15298771220835516
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,-0.15298530871222815
Individuals using the Internet,percent of population,-0.151937210028159
Fixed telephone subscriptions,number,0.149557382153349
"Immunization, DPT (% of children ages 12-23 months)",percent,-0.14713670195853748
"Lending interest rates, percent per annum",percent per annum,-0.14674727402678284
Total investment,percent of GDP,-0.14453077578061285
"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,-0.14437380077256626
Mobile cellular subscriptions,per 100 people,-0.14169188593152973
"Primary completion rate, female (% of relevant age group)",proportion,-0.14094957733015084
"Primary completion rate, total (% of relevant age group)",proportion,-0.14013274394746666
"Primary completion rate, male (% of relevant age group)",proportion,-0.13919357326287138
Rural population (% of total population),proportion,-0.13722024708875724
Urban population (% of total),percent of total population,-0.13382272824633018
Population aged 65+ years (% of total population),percent of total population,-0.127818028897044
Fixed broadband subscriptions,number,0.12696962788562915
Prevalence of Diabetes,percent,-0.12695461579885864
Population aged 15-64 years (% of total population),percent of total population,-0.12356053669796763
Starting a Business (Score),Score,-0.12074055219312195
Population in urban agglomerations of more than 1 million,proportion,0.11761460337242734
Age dependency ratio,percent of total population,-0.1176129254244369
Population in largest city,proportion,0.11571862762081439
Urban population,total,0.11458859700781635
Interest rate on time deposits of 12 months,percent per annum,-0.1132798223958354
General government net lending/borrowing,percent of GDP,-0.1126609619028046
Population aged 0-14 years (% of total population),percent of total population,-0.11027484224970557
Mobile cellular subscriptions,number,0.10929536325834112
Interest rate on savings deposits,percent,-0.10850310914604182
Use of IMF credit (DOD),current US$,0.106077276120623
Refugee population by country or territory of origin,proportion,0.10425212813007724
Interest rate on time deposits of 6 months,percent per annum,-0.10298264694480241
"Labour force participation rate (Male) - Youth, adults: 15-64",percent,0.10276240252779831
"Yield on 90-day treasury bills, percent per annum",percent per annum,-0.10217953327754442
Days required for business start up,days,-0.09974104771356479
"Population ages 65 and above, female",proportion,0.09721417825319786
Unemployment rate (%) - Annual,percent,-0.09692615971022553
"Population ages 65 and above, total",proportion,0.096187674725519
"Population ages 65 and above, male",proportion,0.0949884534254626
Prevalence of chronic kidney disease,percent,-0.0939619656076609
Secure Internet servers ,per 1 million people,-0.09216368019399884
Starting a Business (Rank),rank,-0.09155630026160254
Fixed broadband subscriptions,per 100 people,-0.09024550686354449
Expenditure on education (% of GDP),percent,-0.08897649348138148
Prevalence of total cancers,percent,-0.0884108334480682
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,-0.08700039985623566
Net migration,net total / data are 5 year estimates,-0.08639357314572793
Prevalence of down syndrome,percent,0.08479906381463519
Expenditure on health (% of GDP),percent,-0.08412150983402213
Population (% change),percent,-0.08332187537019967
"Population ages 15-64, female",proportion,0.08291264105766417
"Population, female",proportion,0.0813136977086304
"Population ages 15-64, total",proportion,0.08122869431944343
"Population, total",total,0.07975957638740436
"Population ages 15-64, male",proportion,0.07964622249206703
Population density,persons per square kilometer,-0.07950131800795453
"Population, male",proportion,0.07830384175660672
Proportion of women in managerial positions (%),percent,0.07701915352629596
Proportion of Unemployment in Non-agricultural Employment (total),percent,0.07694018231082167
Stock market capitalization (US$ million),US Dollar,0.07384591131262772
Production index: Agriculture,index,-0.07011809621552681
Interest rate on savings deposits,percent per annum,-0.06807933477460873
Interest rate on loans and discounts - private,percent per annum,-0.06785957940359091
Interest rate on loans and discounts - public,percent per annum,-0.06785957940359073
Expenditure on social protection (% of GDP),percent,-0.06780401982520502
"Population ages 0-14, male",proportion,0.06533583983086863
"Population ages 0-14, total",proportion,0.06519683315097041
"Population ages 0-14, female",proportion,0.06503272361495449
Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,0.06440303774821458
Summary exposure value tobacco,Rate (risk-weighted prevalence),0.06418049035142794
Interest rate on demand deposits,percent per annum,-0.06365016651615373
"Prevalence of HIV, total (% of population ages 15-49)",percent,0.06303122642322612
"Population ages 55-59, male (% of male population)",proportion,-0.062209518024075997
Interest rate on time deposits of 12 months,percent,-0.06216223236753733
Interest rate on time deposits of over 12 months,percent per annum,-0.059880664812523604
"Population ages 55-59, female (% of female population)",proportion,-0.059818542135019186
Urban population growth (annual %),total,-0.05950834757648957
"Population ages 25-29, male (% of male population)",proportion,-0.05862053542341536
"Population ages 60-64, male (% of male population)",proportion,-0.05842479696714502
Interest rate on time deposits of 6 months,percent,-0.057059322496747986
"Population ages 30-34, male (% of male population)",proportion,-0.056819208291453475
"Population ages 60-64, female (% of female population)",proportion,-0.05671249963565419
"Population ages 50-54, male (% of male population)",proportion,-0.05454010188318936
"Population ages 35-39, male (% of male population)",proportion,-0.05434106045137016
"Population, male (% of total population)",proportion,-0.05358679042143579
"Population ages 35-39, female (% of female population)",proportion,-0.05275924655375994
"Population ages 15-64, male (% of male population)",proportion,-0.052599217039685814
"Population ages 45-49, male (% of male population)",proportion,-0.05214591862505983
"Population ages 30-34, female (% of female population)",proportion,-0.05178887561901415
Population ages 15-64 (% of total population),proportion,-0.05109640492965686
"Population ages 25-29, female (% of female population)",proportion,-0.05072146051010397
"Population ages 00-04, female (% of female population)",proportion,-0.050392983119007535
"Population ages 50-54, female (% of female population)",proportion,-0.050306382821672
Rural population growth (annual %),proportion,-0.04991057150047194
Balance on goods (% of GDP),percent,0.04943440822719876
Volume of exports,percent change,-0.04942091730199175
