,Nicaragua,Nepal,Cambodia,Haiti,Paraguay,Suriname,Malaysia,Singapore,Costa Rica,Indonesia,Cuba,India,Philippines,Colombia,Mongolia,Afghanistan,Mexico,Bhutan,Bangladesh,El Salvador,Dominican Republic,Ecuador,Guyana,Thailand,China,Uruguay,Argentina,Japan,Belize,Maldives,Pakistan,Honduras,Brazil,Chile,Panama,Peru,Guatemala,Sri Lanka
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.730660832013443e-08,3.8073434893461297e-07,0.0,0.0,1.5813219563754704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7093014888186897e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.730660832013443e-08,4.46737566359409e-07,0.0,0.0,1.5813219563754704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12790446645607e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.163326040016803e-08,6.391890529559196e-07,0.0,0.0,1.5813219563754704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,3.4320849421803517e-08,0.0,0.0,0.0,0.0,9.26898654569527e-08,5.12790446645607e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.595991248020165e-08,9.768476178869815e-07,0.0,0.0,1.5813219563754704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,3.4320849421803517e-08,0.0,0.0,0.0,0.0,1.2358648727593692e-07,6.837205955274759e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1461321664026885e-07,1.4416492226994924e-06,0.0,0.0,3.162643912750941e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,3.4320849421803517e-08,5.981229347188891e-08,0.0,0.0,0.0,1.2358648727593692e-07,8.546507444093449e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1461321664026885e-07,1.998855331906718e-06,0.0,0.0,3.162643912750941e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.670005720757008e-08
2020-01-28,0.0,3.4320849421803517e-08,5.981229347188891e-08,0.0,0.0,0.0,1.2358648727593692e-07,1.1965110421730829e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.005731291204705e-07,3.827491839928436e-06,0.0,0.0,5.534626847314146e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.670005720757008e-08
2020-01-29,0.0,3.4320849421803517e-08,5.981229347188891e-08,0.0,0.0,0.0,2.1627635273288962e-07,1.1965110421730829e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.005731291204705e-07,4.22906931015509e-06,0.0,0.0,5.534626847314146e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.670005720757008e-08
2020-01-30,0.0,3.4320849421803517e-08,5.981229347188891e-08,0.0,0.0,0.0,2.4717297455187383e-07,1.7093014888186897e-06,0.0,0.0,0.0,7.246353786042499e-10,9.125662517395225e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.005731291204705e-07,5.656128347950154e-06,0.0,0.0,8.697270760065087e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.670005720757008e-08
2020-01-31,0.0,3.4320849421803517e-08,5.981229347188891e-08,0.0,0.0,0.0,2.4717297455187383e-07,2.222091935464297e-06,0.0,0.0,0.0,7.246353786042499e-10,9.125662517395225e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7220638952063855e-07,6.810142496819482e-06,0.0,0.0,1.1859914672816027e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.670005720757008e-08
